Angle,NE_Raw_1,NE_Needle_1,NE_Rod_1,NE_Small_Square_1,NE_Raw_2,NE_Needle_2,NE_Rod_2,NE_Small_Square_2
2.5,0.019893899,0.706401766,0.333333333,0.886925795,0.09832636,0.538167939,0.198804185,0.40167364
2.51971,0.029177719,0.626931567,0.291666667,0.816254417,0.10041841,0.450381679,0.216741405,0.347280335
2.53941,0.025198939,0.454746137,0.269144144,0.664310954,0.078103208,0.381679389,0.189835575,0.292887029
2.55912,0.00795756,0.545253863,0.198198198,0.61130742,0.082287308,0.408396947,0.162929746,0.228033473
2.57883,0.015915119,0.392935982,0.222972973,0.551236749,0.059972106,0.34351145,0.144992526,0.251046025
2.59853,0.015915119,0.388520971,0.183558559,0.469964664,0.064853556,0.301526718,0.122571001,0.263598326
2.61824,0.023872679,0.410596026,0.20045045,0.498233216,0.057880056,0.332061069,0.131539611,0.20083682
2.63795,0.039787798,0.3200883,0.163288288,0.385159011,0.059274756,0.251908397,0.136023916,0.20083682
2.65765,0.021220159,0.348785872,0.132882883,0.38869258,0.057880056,0.320610687,0.146487294,0.211297071
2.67736,0.018567639,0.306843267,0.122747748,0.346289753,0.046025105,0.282442748,0.131539611,0.179916318
2.69706,0.027851459,0.309050773,0.115990991,0.339222615,0.056485356,0.286259542,0.153961136,0.219665272
2.71677,0.014588859,0.233995585,0.129504505,0.300353357,0.047419805,0.301526718,0.136023916,0.182008368
2.73648,0.031830239,0.284768212,0.109234234,0.314487633,0.054393305,0.259541985,0.136023916,0.209205021
2.75618,0.025198939,0.225165563,0.120495495,0.367491166,0.045327755,0.370229008,0.119581465,0.234309623
2.77589,0.023872679,0.273730684,0.121621622,0.28975265,0.055788006,0.267175573,0.144992526,0.215481172
2.7956,0.023872679,0.258278146,0.126126126,0.236749117,0.053695955,0.286259542,0.137518685,0.177824268
2.8153,0.013262599,0.27593819,0.112612613,0.310954064,0.057182706,0.290076336,0.139013453,0.194560669
2.83501,0.026525199,0.25607064,0.122747748,0.28975265,0.052998605,0.27480916,0.125560538,0.184100418
