Angle,NE_Small_Square_2
2.5,0.40167364
2.51971,0.347280335
2.53941,0.292887029
2.55912,0.228033473
2.57883,0.251046025
2.59853,0.263598326
2.61824,0.20083682
2.63795,0.20083682
2.65765,0.211297071
2.67736,0.179916318
2.69706,0.219665272
2.71677,0.182008368
2.73648,0.209205021
2.75618,0.234309623
2.77589,0.215481172
2.7956,0.177824268
2.8153,0.194560669
2.83501,0.184100418
2.85472,0.221757322
2.87442,0.184100418
2.89413,0.207112971
2.91384,0.219665272
2.93354,0.205020921
2.95325,0.188284519
2.97296,0.209205021
2.99266,0.177824268
3.01237,0.209205021
3.03208,0.190376569
3.05178,0.19874477
3.07149,0.20292887
3.09119,0.20292887
3.1109,0.223849372
3.13061,0.215481172
3.15031,0.223849372
3.17002,0.213389121
3.18973,0.179916318
3.20943,0.207112971
3.22914,0.215481172
3.24885,0.190376569
3.26855,0.205020921
3.28826,0.232217573
3.30797,0.194560669
3.32767,0.190376569
3.34738,0.156903766
3.36709,0.188284519
3.38679,0.213389121
3.4065,0.192468619
3.42621,0.186192469
3.44591,0.225941423
3.46562,0.217573222
3.48533,0.169456067
3.50503,0.221757322
3.52474,0.205020921
3.54444,0.184100418
3.56415,0.205020921
3.58386,0.194560669
3.60356,0.20083682
3.62327,0.223849372
3.64298,0.213389121
3.66268,0.182008368
3.68239,0.158995816
3.7021,0.211297071
3.7218,0.223849372
3.74151,0.205020921
3.76122,0.173640167
3.78092,0.20292887
3.80063,0.184100418
3.82034,0.209205021
3.84004,0.194560669
3.85975,0.194560669
3.87946,0.19665272
3.89916,0.219665272
3.91887,0.192468619
3.93857,0.188284519
3.95828,0.194560669
3.97799,0.205020921
3.99769,0.171548117
4.0174,0.20083682
4.03711,0.19874477
4.05681,0.144351464
4.07652,0.19874477
4.09623,0.186192469
4.11593,0.20083682
4.13564,0.194560669
4.15535,0.163179916
4.17505,0.190376569
4.19476,0.19874477
4.21447,0.219665272
4.23417,0.156903766
4.25388,0.175732218
4.27358,0.182008368
4.29329,0.184100418
4.313,0.163179916
4.3327,0.165271967
4.35241,0.150627615
4.37212,0.186192469
4.39182,0.175732218
4.41153,0.188284519
4.43124,0.19665272
4.45094,0.173640167
4.47065,0.211297071
4.49036,0.182008368
4.51006,0.192468619
4.52977,0.192468619
4.54948,0.211297071
4.56918,0.163179916
4.58889,0.175732218
4.6086,0.182008368
4.6283,0.19665272
4.64801,0.156903766
4.66771,0.173640167
4.68742,0.19874477
4.70713,0.165271967
4.72683,0.163179916
4.74654,0.148535565
4.76625,0.171548117
4.78595,0.146443515
4.80566,0.138075314
4.82537,0.190376569
4.84507,0.146443515
4.86478,0.163179916
4.88449,0.152719665
4.90419,0.167364017
4.9239,0.173640167
4.94361,0.171548117
4.96331,0.152719665
4.98302,0.156903766
5.00273,0.150627615
5.02243,0.154811715
5.04214,0.150627615
5.06184,0.138075314
5.08155,0.144351464
5.10126,0.119246862
5.12096,0.138075314
5.14067,0.152719665
5.16038,0.135983264
5.18008,0.167364017
5.19979,0.161087866
5.2195,0.167364017
5.2392,0.140167364
5.25891,0.127615063
5.27862,0.150627615
5.29832,0.121338912
5.31803,0.146443515
5.33774,0.142259414
5.35744,0.094142259
5.37715,0.106694561
5.39686,0.106694561
5.41656,0.146443515
5.43627,0.156903766
5.45597,0.127615063
5.47568,0.140167364
5.49539,0.121338912
5.51509,0.123430962
5.5348,0.117154812
5.55451,0.094142259
5.57421,0.10460251
5.59392,0.121338912
5.61363,0.108786611
5.63333,0.09832636
5.65304,0.127615063
5.67275,0.131799163
5.69245,0.127615063
5.71216,0.119246862
5.73187,0.108786611
5.75157,0.125523013
5.77128,0.125523013
5.79099,0.121338912
5.81069,0.140167364
5.8304,0.131799163
5.85011,0.10460251
5.86981,0.10251046
5.88952,0.110878661
5.90922,0.125523013
5.92893,0.112970711
5.94864,0.110878661
5.96834,0.150627615
5.98805,0.119246862
6.00776,0.106694561
6.02746,0.110878661
6.04717,0.09832636
6.06688,0.079497908
6.08658,0.10041841
6.10629,0.10251046
6.126,0.092050209
6.1457,0.10251046
6.16541,0.094142259
6.18512,0.119246862
6.20482,0.10041841
6.22453,0.119246862
6.24423,0.110878661
6.26394,0.075313808
6.28365,0.10460251
6.30335,0.081589958
6.32306,0.10041841
6.34277,0.10460251
6.36247,0.083682008
6.38218,0.083682008
6.40189,0.079497908
6.42159,0.077405858
6.4413,0.108786611
6.46101,0.10460251
6.48071,0.081589958
6.50042,0.081589958
6.52013,0.09832636
6.53983,0.094142259
6.55954,0.083682008
6.57925,0.079497908
6.59895,0.092050209
6.61866,0.09623431
6.63836,0.073221757
6.65807,0.073221757
6.67778,0.069037657
6.69748,0.10041841
6.71719,0.081589958
6.7369,0.085774059
6.7566,0.073221757
6.77631,0.073221757
6.79602,0.089958159
6.81572,0.081589958
6.83543,0.060669456
6.85514,0.10041841
6.87484,0.066945607
6.89455,0.075313808
6.91426,0.073221757
6.93396,0.083682008
6.95367,0.081589958
6.97338,0.077405858
6.99308,0.073221757
7.01279,0.085774059
7.03249,0.083682008
7.0522,0.056485356
7.07191,0.09623431
7.09161,0.064853556
7.11132,0.079497908
7.13103,0.075313808
7.15073,0.052301255
7.17044,0.079497908
7.19015,0.060669456
7.20985,0.10251046
7.22956,0.077405858
7.24927,0.046025105
7.26897,0.062761506
7.28868,0.064853556
7.30839,0.054393305
7.32809,0.066945607
7.3478,0.10041841
7.36751,0.056485356
7.38721,0.052301255
7.40692,0.071129707
7.42662,0.066945607
7.44633,0.048117155
7.46604,0.085774059
7.48574,0.081589958
7.50545,0.077405858
7.52516,0.083682008
7.54486,0.069037657
7.56457,0.077405858
7.58428,0.083682008
7.60398,0.066945607
7.62369,0.052301255
7.6434,0.062761506
7.6631,0.089958159
7.68281,0.073221757
7.70252,0.064853556
7.72222,0.071129707
7.74193,0.064853556
7.76164,0.056485356
7.78134,0.058577406
7.80105,0.052301255
7.82075,0.062761506
7.84046,0.064853556
7.86017,0.060669456
7.87987,0.064853556
7.89958,0.054393305
7.91929,0.066945607
7.93899,0.079497908
7.9587,0.071129707
7.97841,0.062761506
7.99811,0.066945607
8.01782,0.066945607
8.03753,0.046025105
8.05723,0.048117155
8.07694,0.066945607
8.09665,0.056485356
8.11635,0.066945607
8.13606,0.041841004
8.15577,0.050209205
8.17547,0.050209205
8.19518,0.058577406
8.21488,0.056485356
8.23459,0.056485356
8.2543,0.077405858
8.274,0.073221757
8.29371,0.064853556
8.31342,0.056485356
8.33312,0.073221757
8.35283,0.060669456
8.37254,0.087866109
8.39224,0.054393305
8.41195,0.052301255
8.43166,0.079497908
8.45136,0.054393305
8.47107,0.048117155
8.49078,0.046025105
8.51048,0.071129707
8.53019,0.077405858
8.5499,0.079497908
8.5696,0.071129707
8.58931,0.066945607
8.60901,0.081589958
8.62872,0.056485356
8.64843,0.048117155
8.66813,0.066945607
8.68784,0.073221757
8.70755,0.079497908
8.72725,0.050209205
8.74696,0.073221757
8.76667,0.043933054
8.78637,0.054393305
8.80608,0.069037657
8.82579,0.071129707
8.84549,0.039748954
8.8652,0.043933054
8.88491,0.085774059
8.90461,0.031380753
8.92432,0.056485356
