     Angle,NE_Needle
2.5,0.706401766
2.51971,0.626931567
2.53941,0.454746137
2.55912,0.545253863
2.57883,0.392935982
2.59853,0.388520971
2.61824,0.410596026
2.63795,0.3200883
2.65765,0.348785872
2.67736,0.306843267
2.69706,0.309050773
2.71677,0.233995585
2.73648,0.284768212
2.75618,0.225165563
2.77589,0.273730684
2.7956,0.258278146
2.8153,0.27593819
2.83501,0.25607064
2.85472,0.27593819
2.87442,0.258278146
2.89413,0.269315673
2.91384,0.216335541
2.93354,0.264900662
2.95325,0.253863135
2.97296,0.27593819
2.99266,0.214128035
3.01237,0.273730684
3.03208,0.249448124
3.05178,0.25607064
3.07149,0.236203091
3.09119,0.311258278
3.1109,0.282560706
3.13061,0.267108168
3.15031,0.260485651
3.17002,0.300220751
3.18973,0.29580574
3.20943,0.306843267
3.22914,0.242825607
3.24885,0.273730684
3.26855,0.242825607
3.28826,0.300220751
3.30797,0.247240618
3.32767,0.286975717
3.34738,0.309050773
3.36709,0.302428256
3.38679,0.317880795
3.4065,0.25607064
3.42621,0.282560706
3.44591,0.231788079
3.46562,0.311258278
3.48533,0.220750552
3.50503,0.249448124
3.52474,0.269315673
3.54444,0.280353201
3.56415,0.253863135
3.58386,0.282560706
3.60356,0.262693157
3.62327,0.27593819
3.64298,0.251655629
3.66268,0.231788079
3.68239,0.304635762
3.7021,0.284768212
3.7218,0.25607064
3.74151,0.344370861
3.76122,0.240618102
3.78092,0.242825607
3.80063,0.240618102
3.82034,0.251655629
3.84004,0.245033113
3.85975,0.284768212
3.87946,0.293598234
3.89916,0.225165563
3.91887,0.302428256
3.93857,0.220750552
3.95828,0.282560706
3.97799,0.249448124
3.99769,0.280353201
4.0174,0.273730684
4.03711,0.218543046
4.05681,0.238410596
4.07652,0.249448124
4.09623,0.247240618
4.11593,0.242825607
4.13564,0.27593819
4.15535,0.236203091
4.17505,0.267108168
4.19476,0.245033113
4.21447,0.247240618
4.23417,0.267108168
4.25388,0.333333333
4.27358,0.251655629
4.29329,0.249448124
4.313,0.242825607
4.3327,0.240618102
4.35241,0.240618102
4.37212,0.249448124
4.39182,0.271523179
4.41153,0.273730684
4.43124,0.258278146
4.45094,0.267108168
4.47065,0.289183223
4.49036,0.27593819
4.51006,0.245033113
4.52977,0.209713024
4.54948,0.229580574
4.56918,0.267108168
4.58889,0.260485651
4.6086,0.236203091
4.6283,0.236203091
4.64801,0.236203091
4.66771,0.249448124
4.68742,0.209713024
4.70713,0.231788079
4.72683,0.273730684
4.74654,0.260485651
4.76625,0.229580574
4.78595,0.231788079
4.80566,0.242825607
4.82537,0.214128035
4.84507,0.187637969
4.86478,0.200883002
4.88449,0.247240618
4.90419,0.271523179
4.9239,0.242825607
4.94361,0.209713024
4.96331,0.222958057
4.98302,0.218543046
5.00273,0.229580574
5.02243,0.233995585
5.04214,0.216335541
5.06184,0.214128035
5.08155,0.222958057
5.10126,0.209713024
5.12096,0.205298013
5.14067,0.27593819
5.16038,0.262693157
5.18008,0.236203091
5.19979,0.218543046
5.2195,0.229580574
5.2392,0.240618102
5.25891,0.207505519
5.27862,0.203090508
5.29832,0.207505519
5.31803,0.21192053
5.33774,0.200883002
5.35744,0.233995585
5.37715,0.200883002
5.39686,0.233995585
5.41656,0.229580574
5.43627,0.21192053
5.45597,0.240618102
5.47568,0.203090508
5.49539,0.200883002
5.51509,0.203090508
5.5348,0.229580574
5.55451,0.203090508
5.57421,0.214128035
5.59392,0.227373068
5.61363,0.185430464
5.63333,0.196467991
5.65304,0.205298013
5.67275,0.200883002
5.69245,0.158940397
5.71216,0.205298013
5.73187,0.21192053
5.75157,0.19205298
5.77128,0.181015453
5.79099,0.176600442
5.81069,0.194260486
5.8304,0.156732892
5.85011,0.178807947
5.86981,0.194260486
5.88952,0.233995585
5.90922,0.185430464
5.92893,0.17218543
5.94864,0.220750552
5.96834,0.231788079
5.98805,0.154525386
6.00776,0.17218543
6.02746,0.156732892
6.04717,0.154525386
6.06688,0.156732892
6.08658,0.187637969
6.10629,0.161147903
6.126,0.152317881
6.1457,0.12803532
6.16541,0.125827815
6.18512,0.143487859
6.20482,0.174392936
6.22453,0.181015453
6.24423,0.156732892
6.26394,0.141280353
6.28365,0.123620309
6.30335,0.154525386
6.32306,0.139072848
6.34277,0.154525386
6.36247,0.161147903
6.38218,0.141280353
6.40189,0.143487859
6.42159,0.174392936
6.4413,0.143487859
6.46101,0.143487859
6.48071,0.136865342
6.50042,0.143487859
6.52013,0.141280353
6.53983,0.154525386
6.55954,0.141280353
6.57925,0.143487859
6.59895,0.10816777
6.61866,0.139072848
6.63836,0.119205298
6.65807,0.12803532
6.67778,0.152317881
6.69748,0.169977925
6.71719,0.134657837
6.7369,0.152317881
6.7566,0.121412804
6.77631,0.125827815
6.79602,0.112582781
6.81572,0.150110375
6.83543,0.130242826
6.85514,0.14790287
6.87484,0.114790287
6.89455,0.145695364
6.91426,0.132450331
6.93396,0.12803532
6.95367,0.114790287
6.97338,0.097130243
6.99308,0.10816777
7.01279,0.105960265
7.03249,0.121412804
7.0522,0.099337748
7.07191,0.119205298
7.09161,0.105960265
7.11132,0.105960265
7.13103,0.088300221
7.15073,0.125827815
7.17044,0.121412804
7.19015,0.10816777
7.20985,0.116997792
7.22956,0.136865342
7.24927,0.125827815
7.26897,0.110375276
7.28868,0.112582781
7.30839,0.10816777
7.32809,0.136865342
7.3478,0.132450331
7.36751,0.112582781
7.38721,0.116997792
7.40692,0.090507726
7.42662,0.103752759
7.44633,0.110375276
7.46604,0.090507726
7.48574,0.092715232
7.50545,0.110375276
7.52516,0.103752759
7.54486,0.143487859
7.56457,0.112582781
7.58428,0.112582781
7.60398,0.119205298
7.62369,0.105960265
7.6434,0.123620309
7.6631,0.119205298
7.68281,0.097130243
7.70252,0.125827815
7.72222,0.116997792
7.74193,0.101545254
7.76164,0.110375276
7.78134,0.075055188
7.80105,0.094922737
7.82075,0.099337748
7.84046,0.099337748
7.86017,0.092715232
7.87987,0.116997792
7.89958,0.081677704
7.91929,0.103752759
7.93899,0.090507726
7.9587,0.086092715
7.97841,0.08388521
7.99811,0.097130243
8.01782,0.101545254
8.03753,0.090507726
8.05723,0.10816777
8.07694,0.094922737
8.09665,0.103752759
8.11635,0.092715232
8.13606,0.090507726
8.15577,0.094922737
8.17547,0.090507726
8.19518,0.114790287
8.21488,0.070640177
8.23459,0.079470199
8.2543,0.114790287
8.274,0.099337748
8.29371,0.097130243
8.31342,0.090507726
8.33312,0.105960265
8.35283,0.088300221
8.37254,0.077262693
8.39224,0.08388521
8.41195,0.112582781
8.43166,0.119205298
8.45136,0.090507726
8.47107,0.110375276
8.49078,0.077262693
8.51048,0.097130243
8.53019,0.097130243
8.5499,0.08388521
8.5696,0.110375276
8.58931,0.094922737
8.60901,0.10816777
8.62872,0.123620309
8.64843,0.097130243
8.66813,0.105960265
8.68784,0.097130243
