     Angle,NE_Rod
2.5,0.333333333
2.51971,0.291666667
2.53941,0.269144144
2.55912,0.198198198
2.57883,0.222972973
2.59853,0.183558559
2.61824,0.20045045
2.63795,0.163288288
2.65765,0.132882883
2.67736,0.122747748
2.69706,0.115990991
2.71677,0.129504505
2.73648,0.109234234
2.75618,0.120495495
2.77589,0.121621622
2.7956,0.126126126
2.8153,0.112612613
2.83501,0.122747748
2.85472,0.097972973
2.87442,0.097972973
2.89413,0.140765766
2.91384,0.111486486
2.93354,0.101351351
2.95325,0.112612613
2.97296,0.108108108
2.99266,0.120495495
3.01237,0.10472973
3.03208,0.115990991
3.05178,0.122747748
3.07149,0.117117117
3.09119,0.112612613
3.1109,0.10472973
3.13061,0.111486486
3.15031,0.108108108
3.17002,0.103603604
3.18973,0.096846847
3.20943,0.114864865
3.22914,0.100225225
3.24885,0.092342342
3.26855,0.101351351
3.28826,0.108108108
3.30797,0.097972973
3.32767,0.129504505
3.34738,0.111486486
3.36709,0.095720721
3.38679,0.105855856
3.4065,0.086711712
3.42621,0.11036036
3.44591,0.099099099
3.46562,0.099099099
3.48533,0.11036036
3.50503,0.111486486
3.52474,0.076576577
3.54444,0.072072072
3.56415,0.097972973
3.58386,0.081081081
3.60356,0.094594595
3.62327,0.105855856
3.64298,0.094594595
3.66268,0.100225225
3.68239,0.093468468
3.7021,0.092342342
3.7218,0.102477477
3.74151,0.094594595
3.76122,0.09009009
3.78092,0.101351351
3.80063,0.108108108
3.82034,0.105855856
3.84004,0.084459459
3.85975,0.106981982
3.87946,0.095720721
3.89916,0.078828829
3.91887,0.111486486
3.93857,0.092342342
3.95828,0.086711712
3.97799,0.087837838
3.99769,0.092342342
4.0174,0.084459459
4.03711,0.103603604
4.05681,0.074324324
4.07652,0.078828829
4.09623,0.087837838
4.11593,0.087837838
4.13564,0.09009009
4.15535,0.088963964
4.17505,0.070945946
4.19476,0.086711712
4.21447,0.096846847
4.23417,0.086711712
4.25388,0.073198198
4.27358,0.076576577
4.29329,0.076576577
4.313,0.092342342
4.3327,0.085585586
4.35241,0.072072072
4.37212,0.087837838
4.39182,0.084459459
4.41153,0.084459459
4.43124,0.082207207
4.45094,0.083333333
4.47065,0.085585586
4.49036,0.108108108
4.51006,0.087837838
4.52977,0.076576577
4.54948,0.074324324
4.56918,0.066441441
4.58889,0.070945946
4.6086,0.068693694
4.6283,0.085585586
4.64801,0.079954955
4.66771,0.079954955
4.68742,0.058558559
4.70713,0.078828829
4.72683,0.086711712
4.74654,0.074324324
4.76625,0.065315315
4.78595,0.070945946
4.80566,0.083333333
4.82537,0.060810811
4.84507,0.072072072
4.86478,0.068693694
4.88449,0.072072072
4.90419,0.054054054
4.9239,0.061936937
4.94361,0.086711712
4.96331,0.061936937
4.98302,0.064189189
5.00273,0.068693694
5.02243,0.063063063
5.04214,0.066441441
5.06184,0.076576577
5.08155,0.070945946
5.10126,0.045045045
5.12096,0.070945946
5.14067,0.074324324
5.16038,0.060810811
5.18008,0.060810811
5.19979,0.076576577
5.2195,0.061936937
5.2392,0.056306306
5.25891,0.063063063
5.27862,0.043918919
5.29832,0.051801802
5.31803,0.05518018
5.33774,0.064189189
5.35744,0.039414414
5.37715,0.057432432
5.39686,0.05518018
5.41656,0.057432432
5.43627,0.041666667
5.45597,0.046171171
5.47568,0.056306306
5.49539,0.04954955
5.51509,0.04954955
5.5348,0.041666667
5.55451,0.066441441
5.57421,0.054054054
5.59392,0.042792793
5.61363,0.051801802
5.63333,0.048423423
5.65304,0.054054054
5.67275,0.052927928
5.69245,0.039414414
5.71216,0.040540541
5.73187,0.051801802
5.75157,0.045045045
5.77128,0.060810811
5.79099,0.039414414
5.81069,0.051801802
5.8304,0.046171171
5.85011,0.036036036
5.86981,0.042792793
5.88952,0.051801802
5.90922,0.047297297
5.92893,0.04954955
5.94864,0.03490991
5.96834,0.043918919
5.98805,0.042792793
6.00776,0.023648649
6.02746,0.038288288
6.04717,0.042792793
6.06688,0.037162162
6.08658,0.036036036
6.10629,0.039414414
6.126,0.038288288
6.1457,0.030405405
6.16541,0.043918919
6.18512,0.032657658
6.20482,0.030405405
6.22453,0.036036036
6.24423,0.036036036
6.26394,0.018018018
6.28365,0.032657658
6.30335,0.023648649
6.32306,0.032657658
6.34277,0.043918919
6.36247,0.022522523
6.38218,0.031531532
6.40189,0.032657658
6.42159,0.033783784
6.4413,0.036036036
6.46101,0.030405405
6.48071,0.023648649
6.50042,0.028153153
6.52013,0.027027027
6.53983,0.027027027
6.55954,0.033783784
6.57925,0.030405405
6.59895,0.029279279
6.61866,0.032657658
6.63836,0.02027027
6.65807,0.019144144
6.67778,0.027027027
6.69748,0.023648649
6.71719,0.019144144
6.7369,0.033783784
6.7566,0.033783784
6.77631,0.027027027
6.79602,0.018018018
6.81572,0.028153153
6.83543,0.029279279
6.85514,0.025900901
6.87484,0.025900901
6.89455,0.025900901
6.91426,0.024774775
6.93396,0.029279279
6.95367,0.025900901
6.97338,0.028153153
6.99308,0.022522523
7.01279,0.029279279
7.03249,0.031531532
7.0522,0.028153153
7.07191,0.032657658
7.09161,0.021396396
7.11132,0.023648649
7.13103,0.022522523
7.15073,0.031531532
7.17044,0.025900901
7.19015,0.037162162
7.20985,0.02027027
7.22956,0.025900901
7.24927,0.027027027
7.26897,0.01463964
7.28868,0.022522523
7.30839,0.019144144
7.32809,0.023648649
7.3478,0.028153153
7.36751,0.021396396
7.38721,0.036036036
7.40692,0.023648649
7.42662,0.025900901
7.44633,0.024774775
7.46604,0.025900901
7.48574,0.03490991
7.50545,0.033783784
7.52516,0.030405405
7.54486,0.036036036
7.56457,0.02027027
7.58428,0.028153153
7.60398,0.036036036
7.62369,0.024774775
7.6434,0.022522523
7.6631,0.028153153
7.68281,0.030405405
7.70252,0.023648649
7.72222,0.027027027
7.74193,0.016891892
7.76164,0.036036036
7.78134,0.023648649
7.80105,0.022522523
7.82075,0.022522523
7.84046,0.031531532
7.86017,0.031531532
7.87987,0.031531532
7.89958,0.023648649
7.91929,0.022522523
7.93899,0.023648649
7.9587,0.022522523
7.97841,0.025900901
7.99811,0.012387387
8.01782,0.022522523
8.03753,0.024774775
8.05723,0.013513514
8.07694,0.018018018
8.09665,0.016891892
8.11635,0.022522523
8.13606,0.028153153
8.15577,0.024774775
8.17547,0.031531532
8.19518,0.027027027
8.21488,0.016891892
8.23459,0.02027027
8.2543,0.01463964
8.274,0.012387387
8.29371,0.032657658
8.31342,0.029279279
8.33312,0.018018018
8.35283,0.025900901
8.37254,0.030405405
8.39224,0.02027027
8.41195,0.021396396
8.43166,0.019144144
8.45136,0.027027027
8.47107,0.015765766
8.49078,0.021396396
8.51048,0.023648649
8.53019,0.023648649
8.5499,0.022522523
8.5696,0.025900901
8.58931,0.031531532
8.60901,0.029279279
8.62872,0.030405405
8.64843,0.01463964
8.66813,0.022522523
8.68784,0.021396396
8.70755,0.029279279
8.72725,0.024774775
8.74696,0.033783784
8.76667,0.021396396
8.78637,0.028153153
8.80608,0.023648649
8.82579,0.028153153
8.84549,0.013513514
8.8652,0.023648649
8.88491,0.012387387
8.90461,0.027027027
8.92432,0.025900901
8.94403,0.019144144
8.96373,0.023648649
8.98344,0.031531532
9.00315,0.027027027
9.02285,0.016891892
9.04256,0.016891892
9.06226,0.018018018
9.08197,0.023648649
9.10168,0.029279279
9.12138,0.029279279
9.14109,0.027027027
9.1608,0.02027027
9.1805,0.029279279
9.20021,0.025900901
9.21992,0.031531532
9.23962,0.027027027
9.25933,0.032657658
9.27904,0.041666667
9.29874,0.045045045
9.31845,0.046171171
9.33816,0.060810811
9.35786,0.057432432
9.37757,0.045045045
9.39727,0.041666667
9.41698,0.031531532
9.43669,0.024774775
9.45639,0.024774775
9.4761,0.033783784
9.49581,0.032657658
9.51551,0.047297297
9.53522,0.040540541
9.55493,0.048423423
9.57463,0.047297297
9.59434,0.050675676
9.61405,0.066441441
9.63375,0.101351351
9.65346,0.093468468
9.67317,0.150900901
9.69287,0.137387387
9.71258,0.113738739
9.73229,0.129504505
9.75199,0.091216216
9.7717,0.057432432
9.7914,0.046171171
9.81111,0.031531532
9.83082,0.03490991
9.85052,0.030405405
9.87023,0.025900901
9.88994,0.021396396
9.90964,0.025900901
9.92935,0.023648649
9.94906,0.018018018
9.96876,0.018018018
9.98847,0.024774775
10.0082,0.016891892
10.0279,0.015765766
10.0476,0.021396396
10.0673,0.024774775
10.087,0.021396396
10.1067,0.022522523
10.1264,0.02027027
10.1461,0.016891892
10.1658,0.023648649
10.1855,0.02027027
10.2052,0.021396396
10.2249,0.01463964
10.2447,0.02027027
10.2644,0.013513514
10.2841,0.02027027
10.3038,0.027027027
10.3235,0.025900901
10.3432,0.021396396
10.3629,0.02027027
10.3826,0.023648649
10.4023,0.028153153
10.422,0.027027027
10.4417,0.025900901
10.4614,0.019144144
10.4811,0.02027027
10.5008,0.012387387
10.5205,0.021396396
10.5403,0.016891892
10.56,0.022522523
10.5797,0.02027027
10.5994,0.02027027
10.6191,0.02027027
10.6388,0.016891892
10.6585,0.021396396
10.6782,0.018018018
10.6979,0.023648649
10.7176,0.013513514
10.7373,0.027027027
10.757,0.016891892
10.7767,0.019144144
10.7964,0.016891892
10.8161,0.013513514
10.8358,0.007882883
10.8556,0.01463964
10.8753,0.013513514
10.895,0.019144144
10.9147,0.023648649
10.9344,0.016891892
10.9541,0.024774775
10.9738,0.022522523
10.9935,0.012387387
11.0132,0.024774775
11.0329,0.015765766
11.0526,0.024774775
11.0723,0.031531532
11.092,0.025900901
11.1117,0.022522523
11.1314,0.03490991
11.1512,0.027027027
11.1709,0.022522523
11.1906,0.037162162
11.2103,0.046171171
11.23,0.032657658
11.2497,0.056306306
11.2694,0.052927928
11.2891,0.060810811
11.3088,0.074324324
11.3285,0.066441441
11.3482,0.102477477
11.3679,0.127252252
11.3876,0.155405405
11.4073,0.231981982
11.427,0.331081081
11.4468,0.347972973
11.4665,0.397522523
11.4862,0.358108108
11.5059,0.34009009
11.5256,0.293918919
11.5453,0.13963964
11.565,0.095720721
11.5847,0.060810811
11.6044,0.038288288
11.6241,0.036036036
11.6438,0.029279279
11.6635,0.029279279
11.6832,0.03490991
