id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,6.716,8.034,6.399,1.255,35.4214,6.8036,6.0599,-0.191,-1.4269,8.6063,15.4678,24.0741,4.9687,173.61,51.46,87.252,0.711,40.573,0.1643,507.3085,4.9557,3.9664,-0.5748,-1.6536,8.8758,9.5672,18.9953,4.9969,88.9041,0.2429,47.5655,0.1671,48.0006,-0.1717,0.8306
2,7.992,12.869,6.713,1.917,50.16,8.674,8.0502,0.3912,-1.2976,8.2167,22.8944,31.1111,7.9564,177.76,62.45,88.088,0.58,109.309,0.1499,1021.5785,4.9669,3.9686,-0.3724,-1.0435,9.2853,9.6726,19.3596,6.0921,88.5935,0.4303,72.6585,0.1934,47.4122,-0.0864,0.5197
3,2.08,2.431,1.941,1.252,3.3989,9.0976,7.4171,-0.4699,-0.9747,14.546,15.0836,29.6296,6.6754,90.39,51.39,88.628,0.332,35.17,0.3288,97.7114,4.9722,3.9822,-0.2603,-1.5517,9.4055,9.6434,19.3668,6.5409,88.7781,0.5457,103.1342,0.1792,45.8999,-0.0806,-0.4338
4,2.737,5.168,1.579,3.272,5.8832,10.3833,8.9589,-0.6688,-1.1605,15.9039,15.5776,31.4815,6.7445,178.3,73.01,88.651,0.403,134.329,0.1053,169.9574,4.9703,3.9612,-0.516,-1.3042,9.3313,9.6444,19.3714,6.2018,88.5595,0.356,59.6574,0.246,45.752,-0.2274,0.6862
5,1.23,1.461,1.093,1.336,1.1888,9.1495,7.395,-1.1796,-0.3531,16.8062,9.984,26.7901,4.802,151.04,53.19,87.866,0.363,88.096,0.5938,22.7301,4.9496,3.9426,-0.5156,-1.0405,9.0737,9.4596,19.0672,5.9918,88.0404,0.4922,58.645,0.2791,42.7396,-0.2766,0.6302
6,5.749,9.409,3.915,2.403,25.9564,9.0892,8.0868,-0.1677,-1.4932,11.3662,18.14,29.5062,6.667,177.61,67.41,88.167,0.439,107.187,0.0865,544.4402,4.9571,3.964,-0.4086,-1.413,8.9455,9.5735,19.0225,5.4037,88.6233,0.3237,63.2102,0.1619,47.5387,-0.1033,0.6712
7,4.992,5.59,4.809,1.162,19.5702,6.1344,5.4779,-0.5301,-1.2361,8.7159,17.0866,25.8025,4.0182,176.0,49.29,87.145,0.831,89.707,0.1298,279.2622,4.9102,3.9478,-0.3625,-1.104,8.2048,9.2643,18.143,4.7917,88.0326,0.5316,68.5475,0.1702,47.152,-0.1015,0.4878
8,6.57,8.315,5.507,1.51,33.8973,5.8554,4.7712,-0.4146,-1.0015,8.884,12.1037,20.9877,3.8355,166.66,56.48,87.094,0.693,29.067,0.1222,464.3081,4.9543,3.9733,-0.545,-1.9532,8.5858,9.5541,18.8045,4.6174,89.0656,0.2195,48.2255,0.1377,48.4949,-0.1249,0.8112
9,4.016,8.129,2.546,3.193,12.6658,4.5743,4.3236,-0.3157,-1.6604,5.6637,7.6697,13.3333,3.4963,174.3,72.61,85.842,0.926,6.479,0.032,119.7469,4.7283,3.9149,-0.4615,-2.1017,6.1762,8.0045,15.2117,3.4563,87.6016,0.4434,50.3641,0.1577,41.9533,-0.2498,0.63
10,3.332,4.654,2.571,1.81,8.7182,8.8696,8.3504,-0.1009,-1.708,10.0997,14.5917,24.6914,7.1669,148.56,61.09,88.469,0.358,98.292,0.0906,214.6068,4.9831,3.9844,-0.4286,-1.6968,9.4115,9.7503,19.4899,6.2168,89.204,0.2395,76.1938,0.1732,47.858,-0.1489,0.2992
11,4.069,4.527,3.935,1.15,13.0011,10.3923,9.6318,-0.4433,-1.5338,13.7534,17.7281,31.4815,7.451,36.18,49.0,88.222,0.561,90.562,0.1846,294.0609,4.9967,3.9936,-0.4154,-1.7682,9.8284,9.9522,19.8988,7.0663,89.5936,0.1295,73.3554,0.1417,49.6876,0.025,0.7172
12,1.879,2.128,1.826,1.165,2.774,5.2215,4.5821,-0.746,-1.1898,7.9816,6.5863,14.5679,3.2821,154.75,49.36,86.824,0.913,44.782,0.2133,34.3261,4.9024,3.9535,-0.6036,-2.2262,7.6803,9.1048,17.6729,3.8596,88.6452,0.2395,43.3797,0.1487,46.7069,-0.2593,0.8014
13,3.404,4.47,2.726,1.64,9.0992,9.5114,6.8388,-1.5121,0.9983,21.4859,9.9956,31.4815,4.7681,178.08,58.62,88.078,0.626,12.598,0.2055,191.327,4.9893,3.9848,-0.7284,-1.993,9.628,9.8512,19.7471,6.5082,89.4722,0.1047,38.4888,0.2255,48.4856,-0.3353,0.8993
14,1.494,1.945,1.236,1.573,1.7528,6.4113,5.8811,-0.7123,-1.3816,9.321,7.0988,16.4198,4.2958,33.15,57.56,86.967,0.66,177.76,0.0993,23.2251,4.9195,3.9519,-0.4115,-1.4134,8.4197,9.1669,18.1322,5.0775,88.2381,0.5297,79.4887,0.19,42.2617,-0.0159,0.351
15,1.4,1.988,1.161,1.712,1.5394,4.0196,3.9936,-0.0022,-1.9478,4.0759,5.8006,9.8765,3.9145,84.21,59.71,84.037,1.068,156.746,0.2307,10.1366,4.0707,3.7993,-0.2985,-1.7077,4.5193,5.2287,10.1246,3.5246,84.8595,1.6794,86.4477,0.2487,15.4377,-0.1188,-0.0546
16,2.845,3.302,2.572,1.284,6.3557,4.6656,4.1091,-0.7224,-1.2111,7.0601,6.6436,13.7037,2.911,1.04,52.08,86.25,0.986,28.451,0.1034,67.2114,4.7724,3.8961,-0.5314,-1.7344,6.8676,8.3228,16.3175,3.6705,87.392,0.5017,49.5783,0.1927,40.3556,-0.258,0.6728
17,2.576,3.587,2.034,1.763,5.2126,8.1194,7.0288,-0.45,-1.3083,11.4655,12.4852,23.9506,5.0959,107.06,60.44,87.901,0.539,103.974,0.16,98.7171,4.9248,3.9609,-0.2713,-1.4762,8.8598,9.2696,18.5089,5.881,88.0206,0.8749,101.746,0.1813,40.8987,-0.0369,-0.3265
18,3.3,4.0,2.882,1.388,8.5505,10.3427,8.97,-0.677,-1.2183,15.6656,15.6924,31.358,6.6511,134.08,54.23,88.402,0.527,27.528,0.3926,210.3935,4.9745,3.9736,-0.3597,-1.3059,9.4674,9.6766,19.4429,6.5605,88.7538,0.4862,80.7512,0.2322,44.8269,-0.1298,0.1142
19,1.299,1.611,1.2,1.343,1.326,6.6223,6.4027,-0.3853,-1.7723,8.1749,7.9979,16.1728,5.262,50.94,53.32,86.693,0.726,15.944,0.3201,15.5516,4.7629,3.929,-0.3145,-1.5438,7.2013,7.9284,15.2047,4.6913,87.3285,1.1607,108.6526,0.2186,24.6573,-0.0164,-0.5287
20,2.099,3.065,1.525,2.01,3.4598,5.1,5.0093,-0.0886,-1.8822,5.4814,7.605,13.0864,4.6121,30.32,63.55,87.029,0.774,121.94,0.2554,44.9114,4.3906,3.8947,-0.2828,-1.6808,5.1919,6.5956,11.6935,3.551,86.9795,1.0248,91.7607,0.1869,32.1656,-0.1244,-0.1865
21,3.513,5.349,2.437,2.195,9.6936,11.9584,11.5779,-0.2074,-1.8366,13.7238,16.5231,30.2469,10.0123,161.03,65.51,88.012,0.578,161.461,0.0765,198.7421,4.9857,3.9794,-0.3534,-1.265,9.7337,9.8321,19.7334,7.0576,88.8045,0.4775,79.0866,0.217,47.4113,-0.1476,0.4128
22,1.238,1.564,1.029,1.519,1.2041,5.6312,5.2181,-0.6807,-1.4423,8.0331,6.5348,14.5679,3.864,115.78,56.64,86.954,0.658,55.161,0.0416,15.2856,4.6045,3.9095,-0.3544,-1.7292,6.373,7.0324,13.4267,4.2648,86.7783,1.213,104.9193,0.239,18.1485,-0.1147,-0.4081
23,7.083,8.691,6.5,1.337,39.3995,9.8255,9.4186,0.0885,-1.747,10.0887,18.6767,28.7654,8.9068,107.54,53.21,88.06,0.566,18.324,0.0569,811.5447,4.9871,3.9913,-0.1957,-2.1521,9.61,9.8247,19.6708,6.8472,89.2857,0.4027,108.5413,0.1139,47.8174,0.0622,-0.5424
24,0.87,1.377,0.632,2.179,0.5944,6.1106,5.9596,-0.3194,-1.8286,7.284,7.5309,14.8148,5.0427,82.72,65.35,87.244,0.376,177.36,0.4147,8.4271,4.6746,3.9041,-0.283,-1.3947,7.0032,7.5882,15.0637,4.6582,86.3263,1.5467,102.8675,0.2221,24.4674,-0.0515,-0.3908
25,1.594,2.145,1.223,1.753,1.9966,4.1698,3.8911,-0.5931,-1.5181,5.7495,5.1147,10.8642,2.9406,85.28,60.3,85.93,0.953,23.103,0.2169,19.3404,4.3595,3.8644,-0.2914,-1.538,5.171,6.3968,11.5814,3.6591,86.1428,1.2583,94.7093,0.2134,26.5621,-0.0939,-0.2484
26,2.216,3.44,1.497,2.297,3.8561,4.1333,2.6583,-2.0073,2.767,10.9393,4.9866,15.9259,1.7279,92.21,66.48,86.311,0.737,145.018,0.0119,40.833,4.7454,3.9232,-0.2889,-1.4627,7.247,8.267,15.937,4.5379,87.0693,1.1193,101.2805,0.1625,37.3556,-0.0471,-0.2865
27,2.868,4.11,2.186,1.88,6.4624,6.0241,5.6938,-0.4836,-1.6335,7.8975,9.0161,16.9136,4.4517,94.47,61.99,86.557,0.937,82.88,0.0748,75.1454,4.8405,3.9492,-0.2883,-1.6349,7.7623,8.7752,17.0101,4.7542,87.814,0.8338,100.1824,0.1423,41.4758,-0.0151,-0.2215
28,4.287,5.352,3.681,1.454,14.4338,6.7513,6.4105,-0.4066,-1.6772,8.5776,9.9409,18.5185,5.1176,165.79,55.48,86.827,0.736,65.096,0.0609,179.4413,4.9056,3.9567,-0.3334,-1.6109,8.3743,9.191,18.1304,5.0792,88.2249,0.6012,82.1463,0.1527,44.0864,-0.0298,0.1814
29,0.881,1.003,0.833,1.204,0.6097,7.4971,6.7133,-0.893,-1.1307,11.7482,6.3999,18.1481,4.6993,123.11,50.29,86.815,0.796,169.79,0.2258,7.4749,4.9015,3.9555,-0.3494,-1.7523,8.5893,8.7775,17.7826,5.6678,88.1838,0.7442,95.9999,0.2522,28.8148,-0.1818,-0.3026
30,1.619,2.54,1.087,2.336,2.0576,4.7852,4.3875,-0.6142,-1.4471,6.7488,5.9673,12.716,3.2743,104.69,66.83,87.381,0.729,18.206,0.4624,31.1849,4.4494,3.8536,-0.326,-1.4813,5.4111,6.4499,12.3402,3.87,85.9148,1.2452,84.5347,0.2538,21.8627,-0.0995,-0.1702
31,1.014,1.438,0.738,1.948,0.8078,4.0116,3.75,-0.6139,-1.5203,5.5556,4.5679,10.1235,2.8302,111.5,62.83,85.052,0.936,24.335,0.232,6.9164,4.0446,3.7951,-0.2682,-1.4783,4.6219,5.3836,9.9982,3.6194,84.5809,1.8879,92.1749,0.2654,15.9006,-0.0737,-0.1789
32,3.084,3.796,2.659,1.428,7.4684,4.5242,4.3611,-0.3133,-1.7727,5.4581,7.1345,12.5926,3.6313,86.66,54.99,85.788,0.908,4.667,0.1099,70.4058,4.4833,3.9067,-0.2836,-1.8525,5.4161,6.7678,12.2681,3.6688,87.1954,0.9518,85.7729,0.1762,34.522,-0.1057,-0.1659
33,1.343,1.6,1.205,1.328,1.4175,4.0997,3.9706,-0.3634,-1.7829,5.012,5.2349,10.2469,3.2875,83.33,53.03,85.758,0.726,1.878,0.5187,12.9189,4.074,3.7719,-0.262,-1.1309,5.0272,5.8366,10.9628,3.7586,84.2605,2.1133,89.2268,0.2542,22.393,-0.1121,-0.2423
34,1.884,2.132,1.812,1.177,2.7892,3.885,3.605,-0.6661,-1.4593,5.5088,4.2443,9.7531,2.6791,35.77,49.65,85.106,1.066,165.595,0.0219,22.7209,4.189,3.8544,-0.2886,-1.7091,4.7869,5.793,10.4613,3.5126,86.0844,1.3457,90.9137,0.2207,21.9975,-0.0866,-0.165
35,0.87,1.116,0.703,1.588,0.5944,5.5767,4.9256,-0.8985,-1.0553,8.866,5.8253,14.6914,3.41,69.0,57.8,86.619,0.561,164.508,0.4925,7.4305,4.7991,3.9379,-0.3113,-1.6469,7.4048,7.9322,15.4869,4.8873,87.5289,0.9839,107.2134,0.2347,24.9044,-0.0668,-0.5698
36,9.675,11.376,8.693,1.309,73.5101,10.8038,9.9926,-0.1351,-1.65,12.7419,18.7396,31.4815,8.6844,4.11,52.62,87.76,0.664,109.967,0.006,1304.4877,4.9723,3.9689,-0.1927,-1.2011,9.6044,9.7536,19.5819,6.8636,88.3569,0.8406,85.9622,0.1603,47.4009,0.0331,0.2485
37,0.8,1.238,0.677,1.829,0.503,3.9318,3.8986,0.1581,-1.909,3.6878,6.5591,10.2469,4.1348,179.49,61.33,85.077,1.131,109.249,0.2105,3.8828,4.1245,3.8217,-0.3037,-1.8606,4.4392,5.3441,10.3538,3.2336,85.2999,1.3085,83.3319,0.2104,20.1025,-0.1104,0.0619
38,1.14,1.338,1.026,1.305,1.0212,8.0049,7.8802,-0.1543,-1.8868,8.8287,11.5417,20.3704,7.1157,122.58,52.53,87.761,0.47,150.612,0.5094,17.7184,4.8693,3.9386,-0.3863,-1.6167,8.272,8.5443,17.3821,5.3731,87.8742,0.7493,84.7061,0.2794,25.6873,-0.1779,-0.0451
39,7.029,9.816,5.519,1.779,38.8051,6.2929,6.0457,-0.1124,-1.7563,7.0536,12.8229,19.8765,5.2935,18.19,60.65,86.85,0.809,149.446,0.0359,492.447,4.9356,3.978,-0.2344,-1.9023,8.33,9.4331,18.3102,5.054,88.7298,0.4932,104.4783,0.105,47.3201,0.0826,-0.2526
