id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,7.925,11.082,6.272,1.767,49.3217,7.5908,6.9362,-0.3217,-1.5705,9.7504,13.9533,23.7037,5.6278,172.62,60.49,86.863,0.753,37.314,0.0984,624.2186,4.8785,3.9349,0.0358,-2.0858,9.1838,9.5192,18.5947,5.7355,89.0388,0.3739,96.3223,0.1086,43.7569,0.2226,0.4611
2,3.68,5.612,3.474,1.616,10.6386,4.9475,4.8353,0.2641,-1.7744,4.5113,9.0689,13.5802,5.2094,17.38,58.25,86.718,0.803,88.332,0.1005,128.9641,4.2705,3.7509,-0.2374,-1.3092,6.0689,7.8568,13.9011,3.7492,86.449,1.1661,82.2732,0.1891,39.9113,-0.0028,-0.035
3,2.952,3.69,2.759,1.337,6.8435,3.2373,3.0977,-0.3941,-1.7154,4.0594,5.4467,9.5062,2.5044,3.91,53.21,83.961,1.077,55.948,0.152,45.2396,3.7003,3.534,-0.2817,-1.6689,4.756,6.5027,11.2203,3.1811,84.8155,1.5046,86.2485,0.1825,32.1134,-0.0038,-0.0361
4,4.158,7.451,2.464,3.024,13.5802,3.2509,2.7977,-0.832,-1.0188,5.1836,4.9399,10.1235,1.9306,174.8,71.7,84.534,1.093,52.377,0.0383,98.1129,3.7641,3.5657,-0.2831,-1.5938,4.8912,6.6869,11.4682,3.2199,84.7652,1.5133,86.8166,0.185,33.3611,0.0144,-0.0213
5,4.915,6.54,4.183,1.564,18.9758,4.4815,4.0811,-0.2891,-1.5399,5.7026,9.6061,15.3086,3.2099,156.12,57.4,85.928,1.039,36.501,0.0944,187.1365,4.2253,3.758,-0.2886,-1.5776,5.6076,7.5197,12.934,3.464,86.5761,1.095,82.4259,0.1699,39.1373,-0.0005,-0.0981
6,2.131,2.484,2.208,1.125,3.5665,3.963,3.8192,-0.2164,-1.7625,4.6177,7.1107,11.7284,3.2561,83.41,48.37,85.427,0.893,157.561,0.1387,31.6583,3.8266,3.589,-0.2778,-1.5088,5.0236,6.7608,11.6753,3.2509,85.263,1.4664,84.8688,0.1804,33.7716,-0.0005,-0.0458
7,7.321,11.648,5.674,2.053,42.0972,7.6082,7.0765,0.2159,-1.5101,7.7213,20.6738,28.3951,6.5854,13.31,64.03,86.982,0.739,115.277,0.0449,551.5684,4.8128,3.8967,-0.1312,-1.899,8.6317,9.275,17.9996,5.3172,88.3932,0.4889,90.1018,0.1449,43.8271,0.0973,0.2915
8,5.839,6.88,5.228,1.316,26.7795,3.3517,2.8758,-0.7985,-1.0235,5.3129,5.9217,11.2346,1.9968,1.44,52.77,85.006,1.055,42.234,0.034,212.5655,3.9479,3.6418,-0.3157,-1.5321,5.0062,6.8249,11.7531,3.2497,84.7685,1.5828,86.4395,0.1866,35.7855,0.055,-0.0767
9,3.552,4.77,3.149,1.515,9.907,3.4392,3.3076,-0.3324,-1.746,4.1951,6.0518,10.2469,2.7301,84.12,56.56,85.097,1.1,170.302,0.1973,80.2261,3.718,3.4958,-0.1951,-1.3567,4.9947,6.7201,11.6518,3.417,83.6124,1.9067,87.2486,0.2117,32.3744,0.0744,-0.0127
10,2.531,4.056,1.625,2.497,5.0297,3.9888,2.7083,-1.7642,2.1792,10.2947,6.7423,17.037,1.9754,90.82,68.17,86.187,0.819,126.631,0.1648,52.3639,4.6401,3.8586,-0.2866,-1.907,7.4049,8.3913,15.7866,4.0607,88.1923,0.6887,83.4136,0.1407,40.2202,0.0005,-0.1525
11,2.824,4.528,1.912,2.369,6.2643,3.7432,3.6199,-0.2281,-1.7892,4.3575,6.8771,11.2346,3.0959,70.16,67.11,86.002,0.935,161.968,0.2931,61.4511,3.6415,3.4593,-0.3112,-1.3256,4.3805,5.8881,10.2294,3.1489,83.8384,2.0614,84.5046,0.1915,30.5434,0.0121,-0.1794
12,2.393,4.139,1.596,2.593,4.4963,6.3588,6.1971,-0.0465,-1.8546,6.7695,9.8972,16.6667,5.7139,16.24,68.91,86.674,0.955,179.857,0.1421,54.4166,4.7976,3.9038,-0.2811,-2.0285,7.9286,8.9597,16.9963,4.5467,88.0525,0.5749,85.9554,0.123,43.9656,-0.0607,0.0091
13,2.614,3.545,2.296,1.544,5.365,4.1901,4.0886,0.1404,-1.7856,4.1003,8.3689,12.4691,4.077,139.34,57.08,86.971,0.859,49.918,0.2861,69.4239,4.0394,3.6219,-0.2489,-1.1157,5.3367,7.087,12.7009,3.6771,84.3398,1.8782,80.7878,0.2238,36.9743,0.0019,-0.1342
14,1.945,3.091,1.283,2.41,2.9721,3.5266,3.4683,-0.0894,-1.891,3.7836,5.3522,9.1358,3.2015,22.71,67.46,85.446,1.222,101.745,0.3302,25.7529,3.2658,3.2236,-0.3003,-1.5924,3.8483,4.9945,8.8131,2.9944,83.4815,1.9563,85.6986,0.1673,23.9054,-0.0071,-0.1219
15,3.707,4.086,3.59,1.138,10.791,5.2238,4.622,-0.8029,-1.1589,8.0656,6.8726,14.9383,3.2704,149.59,48.7,85.841,0.98,172.108,0.1008,102.5865,4.8105,3.9105,-0.327,-2.1623,7.8354,8.9446,16.9596,4.4291,88.1134,0.5243,83.273,0.1203,44.4989,-0.1127,-0.0411
16,9.603,11.496,8.932,1.287,72.428,4.5749,4.3688,0.0964,-1.6773,4.7314,9.96,14.6914,4.0601,146.07,52.15,86.027,0.943,9.826,0.0728,720.6508,4.6464,3.8765,-0.5013,-2.3295,6.0047,7.9459,14.5545,3.5805,87.5729,0.6329,74.3685,0.1396,43.1865,-0.1822,-0.3554
17,5.826,6.29,5.796,1.085,26.6575,4.959,4.6401,-0.4884,-1.6021,6.5717,7.3789,13.9506,3.5979,147.97,47.34,85.868,0.969,49.594,0.0678,257.4041,4.6612,3.8803,-0.4562,-2.2253,6.2285,8.1284,14.7794,3.6066,87.5589,0.6471,77.3913,0.1318,43.2752,-0.1735,-0.2745
18,1.106,1.267,1.035,1.224,0.9602,3.3031,3.235,-0.233,-1.8646,3.7856,4.2391,8.0247,2.8242,178.39,50.74,84.395,1.192,71.127,0.2652,6.9659,3.1581,3.1345,-0.318,-1.6726,3.6574,4.6661,8.3026,2.9345,83.3284,1.9554,86.3488,0.1581,21.8779,-0.0073,-0.1281
19,2.617,3.914,2.019,1.938,5.3803,3.3074,3.2716,-0.0436,-1.9205,3.446,5.0726,8.5185,3.114,163.9,62.71,84.077,1.108,80.499,0.2131,36.9633,3.2323,3.182,-0.318,-1.5272,3.8109,4.9236,8.6671,2.9847,82.8689,2.1356,86.9469,0.1663,23.5056,0.0107,-0.1075
20,7.425,9.509,6.076,1.565,43.3013,5.3894,4.4414,-0.7023,-0.7489,9.3868,9.6255,19.0123,3.7277,95.58,57.42,86.65,0.845,9.634,0.087,512.7499,4.8701,3.9458,-0.4396,-2.7206,8.0943,9.0116,17.5991,4.489,89.1319,0.2719,68.8719,0.1285,45.4126,-0.1312,-0.4678
21,2.561,3.066,2.425,1.265,5.1517,3.2384,3.1876,-0.1069,-1.8941,3.4973,5.2681,8.7654,2.9283,117.17,51.66,84.041,1.275,137.501,0.1795,34.1672,3.2417,3.1999,-0.33,-1.5277,3.7959,4.873,8.557,2.9672,83.0869,2.0771,87.1434,0.163,23.6251,0.0141,-0.1242
22,2.793,4.329,2.284,1.896,6.1271,4.7882,4.7119,0.3076,-1.8439,4.1703,8.5458,12.716,5.4151,34.57,62.19,85.237,1.094,172.108,0.1705,52.2704,4.5434,3.8134,-0.4924,-1.7966,5.9527,7.7498,14.4756,3.7635,86.3171,1.0103,75.6391,0.174,41.9548,-0.1394,-0.2988
23,4.121,5.189,3.499,1.483,13.3364,4.7615,4.4188,-0.2716,-1.5727,5.9272,10.863,16.7901,3.5265,64.34,56.01,86.358,1.064,25.094,0.1451,145.2766,4.4598,3.8009,-0.4712,-1.8984,5.4608,7.3173,13.4282,3.4915,86.5319,1.0343,75.8355,0.1634,40.6902,-0.0934,-0.3363
24,2.211,2.424,2.091,1.159,3.8409,4.0618,3.9007,-0.3044,-1.7464,4.9111,6.8173,11.7284,3.2351,96.25,49.22,86.086,0.986,27.079,0.1779,38.2428,4.2792,3.729,-0.366,-1.5627,5.2594,7.021,12.6593,3.4699,85.6223,1.3944,77.8737,0.1873,38.6954,-0.0561,-0.2933
25,4.047,5.009,3.517,1.424,12.8639,3.7504,3.3512,-0.8232,-1.1786,5.7747,4.7191,10.4938,2.3605,112.59,54.92,84.667,1.097,176.705,0.0354,95.1855,4.1654,3.75,-0.3839,-1.9725,4.7295,6.091,10.9208,2.8188,87.2001,1.0994,81.5986,0.1399,35.6335,0.0142,-0.4336
26,0.965,1.431,0.687,2.082,0.7316,3.617,3.5134,-0.3073,-1.8148,4.3118,4.4536,8.7654,2.9644,132.97,64.35,85.043,0.734,173.682,0.4173,5.9547,3.9194,3.5716,-0.3013,-1.3324,4.6093,6.1503,10.7044,3.2214,84.2792,2.0331,83.4841,0.1785,33.3658,0.012,-0.1766
27,3.14,3.697,2.845,1.299,7.7427,3.0343,2.8354,-0.6019,-1.5239,4.1877,4.0839,8.2716,2.1433,86.99,52.42,83.007,1.476,86.2,0.08,44.7173,3.3102,3.2509,-0.3311,-1.4631,3.9004,5.0179,8.781,2.9813,83.1332,2.0885,86.7791,0.1658,24.8283,0.0224,-0.1199
28,8.385,10.625,6.805,1.561,55.2202,6.5007,6.0001,-0.5286,-1.5264,8.8547,10.0342,18.8889,4.5512,30.96,57.36,86.494,0.784,137.399,0.0803,620.7851,4.8746,3.9357,-0.1907,-2.2737,8.7947,9.2745,17.9292,5.0352,88.7848,0.4313,98.6641,0.0889,43.7027,0.0946,0.2652
29,1.779,2.87,1.34,2.141,2.4844,5.6084,5.4465,0.4478,-1.6943,4.6041,10.4576,15.0617,6.6661,133.08,64.97,87.629,0.809,40.763,0.598,41.0504,4.6353,3.7904,-0.36,-1.2931,7.1233,8.3828,16.3589,4.813,86.4907,1.0952,70.7568,0.2279,42.1815,-0.0771,-0.206
30,1.123,1.544,0.877,1.76,0.9907,5.3981,5.1095,-0.3698,-1.6429,6.8127,8.496,15.3086,4.0876,15.9,60.39,87.049,1.086,40.746,0.3793,12.9642,4.5974,3.78,-0.3306,-1.0581,6.9276,8.3928,16.3191,4.7616,85.9001,1.2117,66.7003,0.2616,43.0935,-0.1428,-0.2788
31,1.314,1.517,1.178,1.287,1.3565,3.0825,2.6508,-0.983,-0.85,5.1307,3.8817,9.0123,1.7871,37.62,52.16,84.066,1.212,92.687,0.0136,9.147,3.7379,3.541,-0.2272,-1.6184,4.3976,5.5095,9.4671,2.8479,85.8237,1.5273,86.3767,0.1404,29.1544,0.0408,-0.2375
32,1.014,1.164,1.035,1.125,0.8078,3.7204,3.6834,-0.071,-1.9286,3.9185,5.3407,9.2593,3.4749,63.13,48.38,84.623,0.941,123.924,0.4021,6.0668,3.7076,3.4921,-0.1462,-1.5093,4.3375,5.6295,9.6611,3.0667,85.2427,1.7897,86.0904,0.1611,27.8654,0.0173,-0.2872
33,1.005,1.155,0.969,1.193,0.7926,3.8184,3.738,-0.2594,-1.8551,4.4266,5.203,9.6296,3.2348,156.33,50.02,85.316,0.944,42.798,0.1967,6.7579,3.4876,3.3332,-0.2836,-1.3972,4.0068,5.1993,8.8904,3.0275,84.1173,1.9038,87.2312,0.1528,26.139,0.0458,-0.1218
