id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,3.878,5.188,3.423,1.516,11.8122,30.7438,29.1348,-0.1656,-1.6986,35.8187,42.885,78.7037,24.5532,1.84,56.58,89.126,0.178,39.814,0.5207,507.5949,4.9942,3.9949,-0.2244,-1.0964,9.9843,9.985,19.9795,7.9876,89.4524,0.1697,55.4244,0.3017,49.9189,-0.0103,0.7364
2,4.62,5.79,4.14,1.399,16.7657,34.4149,31.7391,-0.4002,-1.6448,44.6929,34.0108,78.7037,25.096,134.17,54.44,89.24,0.298,35.561,0.2795,728.5436,4.998,3.9982,-0.1923,-1.4926,9.9966,9.9963,19.9963,7.997,89.7547,0.0718,45.6706,0.2803,49.9871,-0.8396,-0.1078
3,2.413,2.629,2.353,1.117,4.5725,25.9016,25.6603,-0.09,-1.9311,27.4931,35.7785,63.2716,24.0565,111.08,48.16,88.086,0.782,112.485,0.634,94.6311,4.9939,3.9933,-0.2136,-0.9821,9.988,9.9861,19.9884,7.9921,89.2971,0.1506,111.8484,0.3318,49.95,-0.6212,-0.5556
4,3.036,4.42,2.712,1.63,7.2398,29.7065,28.65,0.0201,-1.7532,31.336,46.1332,77.4691,26.3882,98.13,58.47,89.262,0.201,20.98,0.9211,362.6189,4.9964,3.9955,-0.1435,-1.1452,9.991,9.9937,19.9893,7.9935,89.6273,0.0952,24.8848,0.3309,49.967,-0.3985,-0.4672
5,3.322,4.693,2.403,1.953,8.6686,27.9974,27.0366,-0.2578,-1.7764,33.0447,43.8071,76.8519,22.8771,121.6,62.89,88.837,0.369,13.234,0.4344,289.2905,4.9951,3.9945,-0.1319,-0.9958,9.9876,9.9913,19.9864,7.9916,89.517,0.1359,26.9077,0.3339,49.9603,-0.5525,-0.3639
6,3.619,5.095,2.659,1.916,10.2881,34.6242,31.2676,-0.806,-1.2559,52.6769,26.0268,78.7037,22.9997,176.4,62.44,89.207,0.398,16.822,0.2746,424.3376,4.9955,3.9965,-0.2737,-1.1702,9.9879,9.9874,19.9855,7.9907,89.5567,0.1599,62.0592,0.26,49.9514,-0.3712,0.8674
7,2.786,4.099,1.998,2.051,6.0966,34.1649,31.4727,-0.4624,-1.599,45.3578,33.3459,78.7037,24.0963,69.16,64.01,89.198,0.256,98.16,0.3875,265.693,4.9948,3.9917,-0.2418,-1.2833,9.9873,9.9892,19.9793,7.9917,89.4605,0.1457,96.3217,0.2855,49.9098,0.5653,-0.7
8,3.304,5.012,2.659,1.885,8.5734,27.1412,26.7816,0.0841,-1.8672,26.7816,51.3049,78.0864,26.7816,152.89,62.05,88.736,0.479,44.425,0.4203,264.6663,4.9967,3.9971,-0.2268,-1.1514,9.9914,9.9921,19.991,7.9936,89.6384,0.1176,55.3213,0.2823,49.9705,-0.5978,0.6113
9,7.247,11.951,4.638,2.577,41.2475,31.9645,29.318,-0.6235,-1.4578,45.1905,33.5132,78.7037,21.9713,0.66,68.79,88.718,0.496,13.179,0.1447,1273.3173,4.9977,3.9978,-0.3215,-1.5845,9.9929,9.9937,19.9913,7.9947,89.7408,0.0837,37.4941,0.2295,49.9671,0.0706,0.8049
10,3.076,4.167,2.36,1.765,7.4303,27.4286,25.5277,-0.6059,-1.5087,38.1212,34.101,72.2222,19.3944,105.91,60.47,88.629,0.47,36.623,0.3679,221.2661,4.9957,3.9945,-0.1882,-1.0113,9.9893,9.9921,19.9874,7.993,89.5076,0.1204,33.3595,0.3174,49.9602,-0.4498,-0.5877
11,3.569,4.725,2.776,1.702,10.0023,27.0569,23.5163,-0.875,-1.0261,43.317,30.4484,73.7654,16.2805,91.29,59.56,88.324,0.62,76.155,0.5201,241.2441,4.9977,3.9964,-0.2646,-1.4326,9.9939,9.9951,19.9927,7.9966,89.6829,0.07,90.4988,0.2717,49.9703,0.0517,-0.7272
12,5.744,6.524,5.248,1.243,25.9107,28.961,25.1748,-0.8437,-1.0672,45.9505,32.7532,78.7037,17.7648,150.06,51.19,88.96,0.404,154.167,0.1443,979.8657,4.998,3.9982,-0.2809,-1.5717,9.9963,9.9945,19.9958,7.9967,89.7242,0.073,105.4243,0.2553,49.9832,-0.7056,0.6384
13,4.15,5.552,4.315,1.287,13.5269,25.5886,24.3406,0.6034,-1.3816,20.0977,58.606,78.7037,30.8543,49.68,52.14,89.126,0.243,176.486,0.3233,561.0898,4.9863,3.9806,-0.2534,-1.224,9.9692,9.97,19.9567,7.9811,89.0079,0.2696,163.8324,0.2857,49.8006,0.7464,-0.3045
14,7.371,11.825,5.404,2.188,42.6764,29.4508,28.5102,0.4297,-1.6465,24.7936,53.9101,78.7037,33.5377,55.23,65.44,89.045,0.247,19.261,0.1978,1742.2231,4.9988,3.9975,-0.1948,-1.8489,9.9969,9.9979,19.9942,7.9971,89.845,0.0405,25.8525,0.2775,49.9733,0.867,-0.4004
15,8.92,10.716,7.901,1.356,62.4905,29.875,25.6008,-0.7713,-1.0808,47.1606,31.5431,78.7037,18.6188,129.16,53.6,88.955,0.327,171.915,0.1996,2237.1384,4.9972,3.997,-0.2584,-1.5317,9.9953,9.9933,19.9954,7.9965,89.643,0.0774,144.1315,0.2786,49.9793,-0.6579,-0.2328
16,2.203,3.112,1.837,1.694,3.8104,25.4706,25.1968,0.064,-1.9125,25.1968,35.6057,60.8025,25.1968,115.65,59.44,88.852,0.289,21.988,0.2984,130.5627,4.9966,3.9961,-0.182,-1.131,9.991,9.9937,19.9907,7.9943,89.6282,0.1075,24.6691,0.2998,49.9731,-0.6244,-0.4724
17,8.227,9.807,7.95,1.234,53.155,27.5393,26.6961,-0.1776,-1.7992,31.3389,47.3648,78.7037,23.2514,140.09,50.97,88.607,0.491,66.517,0.0336,1500.3121,4.9978,3.9978,-0.2253,-1.2744,9.9947,9.9946,19.9942,7.996,89.7031,0.0794,60.403,0.2857,49.9798,-0.6282,0.3598
18,2.559,3.58,2.067,1.732,5.144,25.6919,25.3127,-0.2067,-1.8869,28.9288,39.8984,68.8272,22.5001,19.66,60.0,88.149,0.64,134.726,0.6825,106.5181,4.9916,3.99,-0.235,-1.1949,9.9781,9.9823,19.9732,7.9836,89.3409,0.2101,139.8163,0.2885,49.8822,0.6259,0.5593
19,2.935,5.087,1.9,2.677,6.7635,28.3292,26.7778,-0.1512,-1.6079,33.1933,45.5104,78.7037,22.4405,86.52,69.52,89.141,0.322,13.729,0.5288,277.4465,4.9963,3.9935,-0.1655,-1.3106,9.9916,9.9939,19.9836,7.9926,89.5932,0.1031,25.6479,0.3175,49.9437,0.4578,-0.6646
20,10.207,14.864,7.665,1.939,81.8282,34.392,31.6473,-0.4832,-1.5908,46.2009,32.5028,78.7037,25.1169,10.94,62.72,89.031,0.405,173.528,0.3051,2858.9424,4.9908,3.9912,-0.3406,-1.3172,9.973,9.9776,19.9656,7.9825,89.3479,0.2382,144.3027,0.2182,49.8684,0.5747,0.8871
21,2.535,2.865,2.31,1.24,5.0488,28.7021,26.6639,-0.4671,-1.5843,38.1954,35.2614,73.4568,20.7671,114.66,51.12,89.106,0.196,3.602,0.2519,228.9772,4.9978,3.9971,-0.1738,-1.3312,9.9948,9.9962,19.9942,7.9961,89.7347,0.0699,24.908,0.2982,49.9834,-0.6345,-0.564
22,4.294,6.025,4.141,1.455,14.4795,27.7314,27.2992,0.1912,-1.8257,25.9992,52.7045,78.7037,28.736,97.94,55.5,88.674,0.379,155.973,0.2201,396.0483,4.9969,3.9957,-0.2833,-1.3594,9.9935,9.9926,19.9931,7.9964,89.57,0.084,153.3773,0.2863,49.9673,-0.268,-0.794
23,7.421,10.324,6.652,1.552,43.248,30.8288,29.2496,0.0094,-1.7205,33.2396,45.4641,78.7037,26.3833,56.91,57.21,89.164,0.312,124.744,0.1981,1927.5782,4.9958,3.9931,-0.2511,-1.5687,9.9904,9.9907,19.9842,7.993,89.6106,0.112,147.2454,0.27,49.9259,0.8383,-0.4358
24,4.962,6.106,4.253,1.436,19.3378,28.5176,25.3552,-0.7198,-1.2379,42.8477,35.8561,78.7037,18.2557,153.37,55.14,88.419,0.68,58.722,0.4029,503.6973,4.9967,3.9973,-0.2662,-1.2363,9.9918,9.9914,19.9908,7.9934,89.6409,0.1237,58.7291,0.2549,49.9721,-0.6138,0.7467
