id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,1.507,2.284,1.175,1.944,1.7833,4.7964,4.5054,-0.433,-1.6583,6.1988,6.2703,12.4691,3.5684,160.78,62.78,87.877,0.623,20.143,0.3283,32.2506,4.3769,3.8505,-0.2607,-0.9495,5.4159,6.9202,12.3191,3.7902,88.5398,0.6406,39.6965,0.3845,24.1279,-0.3801,0.3997
2,0.731,1.005,0.625,1.608,0.4191,3.9628,3.7437,-0.3574,-1.6357,4.9916,5.8726,10.8642,2.9949,109.74,58.12,87.724,0.532,30.388,0.6124,6.8578,3.9127,3.7405,-0.1854,-1.4752,4.4992,5.6096,10.105,3.5943,87.99,0.509,58.1267,0.4747,5.9225,-0.1252,-0.5611
3,0.478,0.891,0.293,3.043,0.1791,4.5618,4.4693,0.3535,-1.7945,3.9018,7.4562,11.358,5.2301,38.53,71.81,88.785,0.131,140.681,0.5761,6.3078,4.4162,3.7991,-0.1428,-1.8412,5.0083,6.5074,11.4268,3.8758,88.568,0.4292,130.7312,0.4626,6.1827,0.5563,0.0505
4,3.444,4.867,2.738,1.777,9.3164,5.1136,4.7781,-0.2788,-1.5459,6.3678,9.3729,15.7407,3.825,174.47,60.63,88.223,0.827,13.834,0.448,213.2296,4.7277,3.9471,-0.169,-1.3111,5.9362,8.4443,14.6366,4.0624,89.2678,0.3123,62.5949,0.3919,41.537,-0.3295,0.2426
5,0.664,0.85,0.576,1.476,0.3467,4.3638,4.1321,-0.4682,-1.6451,5.6816,5.3061,10.9877,3.2466,44.97,55.89,87.941,0.508,120.327,0.337,6.7683,4.2574,3.7533,-0.2866,-1.558,5.0655,5.8132,10.8436,3.576,87.9797,0.6986,112.9612,0.3718,8.6006,0.4817,0.3509
6,1.616,2.645,1.145,2.31,2.05,4.7896,4.432,-0.347,-1.518,6.1637,8.4659,14.6296,3.4599,10.83,66.59,88.043,0.91,24.937,0.4814,42.4961,4.7652,3.9455,-0.5849,-1.2305,6.7162,7.4073,14.1927,3.5289,89.1524,0.4486,49.2735,0.2353,37.6594,0.1686,0.7599
7,2.192,2.711,2.032,1.334,3.7723,3.978,3.8566,-0.3881,-1.7801,4.9018,6.0241,10.9259,3.1788,161.19,53.15,86.788,1.133,28.741,0.2242,47.7357,4.2775,3.862,-0.1401,-1.0988,4.9895,7.6267,12.7429,3.8048,88.6044,0.562,71.3305,0.2662,40.1285,-0.4967,0.5457
8,0.7,0.802,0.668,1.201,0.3848,3.7858,3.5993,-0.5855,-1.6128,5.1045,4.4634,9.5679,2.7797,72.68,50.21,86.628,1.04,164.908,0.3046,4.7882,3.8908,3.6131,-0.3602,-1.1796,4.876,5.3291,10.2056,3.3232,86.8261,0.8748,120.0635,0.3316,10.0597,0.2847,-0.4162
9,0.497,0.951,0.411,2.314,0.1943,4.2283,4.1759,0.2004,-1.8971,3.8928,5.8603,9.7531,4.5035,134.33,66.63,88.528,0.334,162.322,0.1855,4.8143,3.9461,3.6497,-0.2991,-1.2163,4.8993,5.5495,10.5169,3.3804,86.8397,0.9121,131.6045,0.2736,16.4434,-0.2805,-0.4069
10,1.523,2.55,1.03,2.475,1.8214,3.9113,3.8167,-0.366,-1.8216,4.7413,5.197,9.9383,3.1939,18.4,68.0,86.033,1.095,173.574,0.2475,18.2874,4.3091,3.7707,-0.4917,-1.0384,5.5692,5.5445,11.2449,3.3071,87.6171,1.0308,71.3525,0.2823,16.6712,0.262,0.6314
