id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,3.878,5.188,3.423,1.516,11.8122,30.7438,29.1348,-0.1656,-1.6986,35.8187,42.885,78.7037,24.5532,1.84,56.58,89.126,0.178,39.814,0.5207,507.5949,4.9948,3.9986,-0.2098,-1.4409,9.9962,9.995,19.9938,7.9931,89.8359,0.0425,36.6849,0.287,49.976,-0.5795,0.6805
2,4.62,5.79,4.14,1.399,16.7657,34.4149,31.7391,-0.4002,-1.6448,44.6929,34.0108,78.7037,25.096,134.17,54.44,89.24,0.298,35.561,0.2795,728.5436,4.9888,3.9971,-0.1666,-1.2241,9.9858,9.9886,19.9867,7.9888,89.7285,0.0853,47.5639,0.312,49.9369,-0.7622,-0.1463
3,2.413,2.629,2.353,1.117,4.5725,25.9016,25.6603,-0.09,-1.9311,27.4931,35.7785,63.2716,24.0565,111.08,48.16,88.086,0.782,112.485,0.634,94.6311,4.9794,3.9936,-0.2317,-1.0236,9.9644,9.9723,19.9728,7.9734,89.444,0.1132,118.1341,0.3651,49.8605,-0.5533,-0.6841
4,3.036,4.42,2.712,1.63,7.2398,29.7065,28.65,0.0201,-1.7532,31.336,46.1332,77.4691,26.3882,98.13,58.47,89.262,0.201,20.98,0.9211,362.6189,4.9645,3.9922,-0.1784,-0.9397,9.958,9.9793,19.9657,7.9801,89.4506,0.2312,43.9684,0.4301,49.8218,-0.4313,-0.67
5,3.322,4.693,2.403,1.953,8.6686,27.9974,27.0366,-0.2578,-1.7764,33.0447,43.8071,76.8519,22.8771,121.6,62.89,88.837,0.369,13.234,0.4344,289.2905,4.9834,3.9967,-0.1407,-1.4164,9.9824,9.9915,19.9873,7.9925,89.7489,0.1141,28.9825,0.4047,49.9324,-0.695,-0.5881
6,3.619,5.095,2.659,1.916,10.2881,34.6242,31.2676,-0.806,-1.2559,52.6769,26.0268,78.7037,22.9997,176.4,62.44,89.207,0.398,16.822,0.2746,424.3376,4.995,3.9986,-0.2747,-1.3424,9.9963,9.9938,19.9932,7.9902,89.8285,0.0397,56.0751,0.259,49.9753,-0.3547,0.8141
7,2.786,4.099,1.998,2.051,6.0966,34.1649,31.4727,-0.4624,-1.599,45.3578,33.3459,78.7037,24.0963,69.16,64.01,89.198,0.256,98.16,0.3875,265.693,4.9879,3.9959,-0.2829,-1.2481,9.9796,9.9853,19.9679,7.9766,89.6646,0.1391,103.022,0.2639,49.9318,0.4627,-0.6953
8,3.304,5.012,2.659,1.885,8.5734,27.1412,26.7816,0.0841,-1.8672,26.7816,51.3049,78.0864,26.7816,152.89,62.05,88.736,0.479,44.425,0.4203,264.6663,4.9869,3.9962,-0.1671,-0.9068,9.9884,9.987,19.9819,7.9831,89.6432,0.097,46.8445,0.3201,49.9321,-0.5162,0.5036
9,7.247,11.951,4.638,2.577,41.2475,31.9645,29.318,-0.6235,-1.4578,45.1905,33.5132,78.7037,21.9713,0.66,68.79,88.718,0.496,13.179,0.1447,1273.3173,4.9967,3.9991,-0.2389,-1.7176,9.9983,9.9974,19.9968,7.9957,89.8986,0.0271,32.0844,0.2836,49.9895,-0.4742,0.7883
10,3.076,4.167,2.36,1.765,7.4303,27.4286,25.5277,-0.6059,-1.5087,38.1212,34.101,72.2222,19.3944,105.91,60.47,88.629,0.47,36.623,0.3679,221.2661,4.9798,3.9956,-0.1883,-1.1534,9.9687,9.9853,19.9762,7.9853,89.695,0.145,42.397,0.3477,49.8949,-0.587,-0.7379
