id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,1.507,2.284,1.175,1.944,1.7833,4.7964,4.5054,-0.433,-1.6583,6.1988,6.2703,12.4691,3.5684,160.78,62.78,87.877,0.623,20.143,0.3283,32.2506,4.2998,3.7831,-0.1011,-1.0444,4.8546,7.2283,12.1536,3.9779,87.0836,0.7164,64.6528,0.3866,25.4658,-0.4041,0.4556
2,0.731,1.005,0.625,1.608,0.4191,3.9628,3.7437,-0.3574,-1.6357,4.9916,5.8726,10.8642,2.9949,109.74,58.12,87.724,0.532,30.388,0.6124,6.8578,3.7157,3.6692,-0.0518,-1.7667,4.0164,5.5483,9.52,3.7969,87.932,0.5284,60.8725,0.5014,3.6721,-0.1169,-0.1347
3,0.478,0.891,0.293,3.043,0.1791,4.5618,4.4693,0.3535,-1.7945,3.9018,7.4562,11.358,5.2301,38.53,71.81,88.785,0.131,140.681,0.5761,6.3078,4.4032,3.8493,-0.2566,-1.5428,5.2534,6.0461,11.3121,3.7215,88.8396,0.2536,95.9743,0.3812,7.1166,0.196,0.0547
4,3.444,4.867,2.738,1.777,9.3164,5.1136,4.7781,-0.2788,-1.5459,6.3678,9.3729,15.7407,3.825,174.47,60.63,88.223,0.827,13.834,0.448,213.2296,4.8637,3.9638,-0.2459,-1.6088,6.3257,8.5698,15.1208,4.1212,88.9531,0.171,64.4718,0.305,44.5705,-0.1658,0.5588
5,0.664,0.85,0.576,1.476,0.3467,4.3638,4.1321,-0.4682,-1.6451,5.6816,5.3061,10.9877,3.2466,44.97,55.89,87.941,0.508,120.327,0.337,6.7683,4.3472,3.8305,-0.3609,-1.4988,5.4239,5.8246,11.244,3.5688,88.489,0.3206,91.4028,0.3088,8.9409,0.1796,0.3187
6,1.616,2.645,1.145,2.31,2.05,4.7896,4.432,-0.347,-1.518,6.1637,8.4659,14.6296,3.4599,10.83,66.59,88.043,0.91,24.937,0.4814,42.4961,4.6742,3.8879,-0.4896,-1.1238,6.3461,7.6233,14.0189,3.6578,87.5585,0.5409,61.6477,0.2681,37.0302,0.195,0.7584
7,2.192,2.711,2.032,1.334,3.7723,3.978,3.8566,-0.3881,-1.7801,4.9018,6.0241,10.9259,3.1788,161.19,53.15,86.788,1.133,28.741,0.2242,47.7357,4.5006,3.8746,-0.2564,-1.2952,5.391,7.5107,12.8814,3.7213,87.579,0.5773,77.267,0.2307,40.4254,-0.2271,0.5217
8,0.7,0.802,0.668,1.201,0.3848,3.7858,3.5993,-0.5855,-1.6128,5.1045,4.4634,9.5679,2.7797,72.68,50.21,86.628,1.04,164.908,0.3046,4.7882,3.9193,3.6053,-0.4656,-1.3119,5.1872,5.1129,10.3242,3.0528,88.02,0.882,115.7894,0.3026,12.6868,0.4222,-0.6917
9,0.497,0.951,0.411,2.314,0.1943,4.2283,4.1759,0.2004,-1.8971,3.8928,5.8603,9.7531,4.5035,134.33,66.63,88.528,0.334,162.322,0.1855,4.8143,3.8966,3.6715,-0.2101,-1.3623,4.5356,5.604,10.2327,3.7029,87.9303,0.4731,115.0746,0.3313,8.2479,-0.4145,-0.023
10,1.523,2.55,1.03,2.475,1.8214,3.9113,3.8167,-0.366,-1.8216,4.7413,5.197,9.9383,3.1939,18.4,68.0,86.033,1.095,173.574,0.2475,18.2874,4.2353,3.7313,-0.4497,-0.9759,5.8248,5.5841,11.3945,3.3139,86.9061,0.8373,68.0912,0.2734,15.7492,0.3057,0.664
11,2.193,3.041,1.79,1.699,3.7761,6.0386,5.8011,-0.2079,-1.7327,7.0543,8.6864,15.7407,4.9259,176.08,59.53,88.434,0.673,68.012,0.1406,93.0432,4.8891,3.9699,-0.3237,-1.2945,6.962,8.5395,15.6916,4.3036,88.9263,0.2001,84.2999,0.2179,47.25,-0.1672,0.5325
12,0.619,0.874,0.449,1.946,0.301,3.8285,3.6061,-0.6221,-1.5442,5.2773,5.0314,10.3086,2.7388,13.23,62.81,86.656,0.798,0.106,0.3898,3.5704,4.4664,3.8531,-0.3534,-1.9167,5.4706,6.0264,11.4182,3.524,88.7727,0.2336,53.6818,0.3495,7.2749,0.2745,0.7455
13,3.062,3.701,2.607,1.42,7.3655,3.9513,3.603,-0.7585,-1.3094,5.8649,5.1845,11.0494,2.6002,10.76,54.84,86.463,1.097,19.302,0.1079,83.759,4.4729,3.8588,-0.3335,-1.3064,5.5533,6.841,12.4244,3.5055,87.4847,0.5714,82.2812,0.1895,36.6251,-0.0147,0.605
14,0.737,0.96,0.643,1.493,0.4268,4.2142,4.1721,-0.1106,-1.9257,4.5198,5.974,10.4938,3.8741,173.11,56.18,87.46,0.858,68.247,0.3753,7.0019,4.243,3.81,-0.2678,-1.8954,4.7908,5.7417,10.5413,3.6813,88.7874,0.1907,93.7393,0.3133,5.7643,-0.2726,0.5734
15,1.007,1.336,0.964,1.386,0.7964,4.0141,3.9895,0.1303,-1.9401,3.7995,6.3857,10.1852,4.1995,158.88,54.19,86.571,1.231,108.846,0.3453,9.1464,4.0486,3.7837,-0.1214,-1.7118,4.3968,5.6448,10.0301,3.7226,88.5784,0.2362,85.4934,0.3545,5.5564,-0.3694,0.6045
16,0.635,0.664,0.641,1.036,0.3163,4.0213,3.8642,-0.4983,-1.7024,5.2048,4.5483,9.7531,3.0727,114.03,46.0,87.501,0.773,131.092,0.2011,5.002,4.0402,3.7858,-0.2646,-2.3964,4.2995,5.6886,9.8906,3.4009,89.2228,0.1879,130.4945,0.2569,8.2329,-0.4265,-0.5359
17,0.611,0.776,0.511,1.517,0.2934,3.7944,3.6312,-0.5336,-1.6688,4.9929,4.2664,9.2593,2.8531,134.03,56.62,86.466,0.67,23.699,0.2997,3.1658,3.9626,3.7655,-0.2732,-1.1698,5.0162,5.209,10.2507,3.653,88.2958,0.365,99.6399,0.3538,6.6913,-0.4149,0.1195
18,1.101,1.19,1.083,1.099,0.9526,3.9512,3.4335,-0.904,-0.9752,6.3818,6.2107,12.5926,2.3485,43.08,47.69,87.135,0.885,103.803,0.0423,13.1077,4.4596,3.8798,-0.6042,-1.2328,6.2925,6.1067,12.3315,3.3507,88.779,0.369,71.7597,0.3048,14.9316,0.4155,0.0888
19,1.333,1.727,1.231,1.404,1.3946,4.1726,4.1216,0.0427,-1.8875,4.1914,7.4135,11.6049,4.054,156.67,54.53,87.681,0.82,178.21,0.4509,22.7028,4.3988,3.9033,-0.0954,-2.4746,4.2897,7.1526,11.5051,3.8398,89.1649,0.1146,119.8854,0.2191,21.9364,-0.7756,0.6217
20,1.367,1.668,1.164,1.432,1.467,4.3372,3.8599,-0.6571,-1.2351,6.4053,7.7305,14.1358,2.7692,90.49,55.08,88.078,0.694,11.714,0.2747,29.744,4.6254,3.9522,-0.3676,-2.2905,5.5458,7.5529,13.0337,3.5739,89.5952,0.1626,116.3817,0.3191,29.8861,-0.146,-0.91
21,1.277,1.741,1.059,1.644,1.2803,4.0272,3.9657,-0.224,-1.8935,4.5652,5.5583,10.1235,3.5054,36.39,58.69,86.792,1.044,26.533,0.1555,16.481,4.0124,3.6921,-0.6374,-1.2891,5.8559,4.4519,10.3058,2.9031,88.0251,0.7369,84.121,0.2003,10.5697,0.5021,0.074
22,0.96,2.27,0.908,2.5,0.724,3.7395,3.3126,1.0528,-0.8633,2.2697,7.792,10.0617,6.1283,84.43,68.19,87.406,0.73,161.742,0.2852,10.9917,4.3615,3.9085,-0.0708,-2.3588,4.3753,7.0723,11.3324,3.845,89.4792,0.1574,113.0501,0.4671,13.5384,-0.4396,-0.8064
23,0.544,0.821,0.444,1.848,0.2324,4.1582,3.8648,-0.3182,-1.4841,5.3003,7.354,12.6543,3.0411,168.47,61.59,88.434,0.626,170.135,0.5736,5.2093,4.1398,3.8364,-0.2252,-1.7645,4.7566,5.3675,10.1132,3.6311,88.9049,0.1772,115.9371,0.2672,6.8699,-0.447,0.5853
24,1.481,1.794,1.309,1.371,1.7223,4.2252,3.5372,-0.9744,-0.7504,7.1701,6.4102,13.5802,2.3477,88.72,53.89,88.047,0.689,164.588,0.2212,34.2676,4.7025,3.932,-0.3914,-1.5946,6.0867,7.7634,13.8745,3.5783,89.2351,0.3294,113.6966,0.3651,38.4978,0.153,-0.8865
