id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,4.986,6.551,3.958,1.655,19.5283,12.7639,12.0216,-0.3979,-1.6452,16.3782,21.2762,37.6543,9.6774,6.11,58.86,88.049,0.6,96.887,0.401,382.1042,4.9923,3.9971,0.0703,-1.5759,9.9785,9.9942,19.9861,7.9933,88.891,0.122,89.369,0.3101,49.9767,0.4888,0.7126
2,7.55,12.044,5.604,2.149,44.7721,15.1983,13.6426,-0.1624,-1.4081,18.9551,34.44,53.3951,11.1055,1.67,65.05,88.289,0.428,10.596,0.3483,1022.4526,4.9978,3.9969,0.0603,-1.9899,9.9821,9.996,19.993,7.9972,89.361,0.0476,79.0982,0.2185,49.9861,-0.4434,0.9084
3,3.552,4.275,3.299,1.296,9.907,11.8953,10.8058,-0.4787,-1.4684,16.2057,17.1277,33.3333,8.183,38.92,52.35,87.53,0.447,45.597,0.3601,158.8943,4.9944,3.996,0.0383,-1.6384,9.9699,9.9933,19.9842,7.9843,89.0886,0.123,103.7292,0.2415,49.9678,0.7467,0.1841
4,2.829,4.891,1.871,2.614,6.2872,11.3122,11.1104,0.2449,-1.8174,10.3168,18.6955,29.0123,12.0363,51.27,69.06,87.391,0.608,108.225,0.1611,91.7641,4.9933,3.9966,0.06,-1.5978,9.9714,9.9937,19.9845,7.9861,88.9903,0.1369,107.1686,0.2789,49.9684,0.7651,0.2257
5,1.939,3.284,1.453,2.26,2.9531,10.1458,10.0134,0.1071,-1.8945,9.8569,14.8344,24.6914,10.1749,118.64,66.13,86.709,0.673,42.413,0.1861,36.6142,4.9915,3.9892,0.0973,-1.5186,9.9321,9.9782,19.954,7.9923,88.8636,0.2519,68.2415,0.2464,49.9167,-0.7946,-0.6207
6,3.94,5.242,3.184,1.646,12.1933,11.4169,10.6044,-0.1484,-1.563,13.5788,24.6928,38.2716,8.6989,55.7,58.73,88.0,0.553,58.39,0.1406,246.6877,4.9902,3.9927,0.0147,-1.5324,9.9513,9.9891,19.9671,7.9714,88.8273,0.2163,114.4769,0.2942,49.9343,0.7323,-0.7021
7,4.838,6.778,3.852,1.76,18.3852,12.2604,11.6486,-0.063,-1.7287,13.6243,24.6473,38.2716,10.5782,17.17,60.39,88.067,0.562,100.692,0.3322,356.2152,4.9931,3.9959,0.075,-1.434,9.9677,9.9925,19.9825,7.9888,88.8808,0.1453,98.7394,0.2662,49.9656,0.5627,0.6468
8,4.308,6.346,3.709,1.711,14.5748,12.1891,11.4624,0.0957,-1.4838,13.0353,28.3227,41.358,10.2935,20.26,59.69,88.097,0.5,21.453,0.238,297.6541,4.99,3.9948,0.0797,-1.2656,9.9629,9.99,19.9771,7.989,88.6233,0.1864,90.533,0.2964,49.9594,0.4296,0.6446
9,2.175,3.385,1.43,2.368,3.7151,10.9953,10.759,-0.1338,-1.8377,12.1473,18.0996,30.2469,9.6555,125.05,67.1,87.555,0.627,44.251,0.1106,57.7018,4.9928,3.9885,0.1323,-1.7399,9.9245,9.9771,19.9629,7.9943,89.1141,0.1941,56.3219,0.2347,49.9367,-0.8849,-0.515
10,7.502,13.064,5.203,2.511,44.2006,16.035,14.4861,0.1192,-1.2991,17.9347,38.8554,56.7901,12.6264,175.38,68.29,88.489,0.347,43.544,0.1157,1129.9908,4.9938,3.9945,0.0903,-1.6753,9.9612,9.9899,19.9839,7.994,88.9884,0.1091,70.6373,0.267,49.9743,-0.257,0.8501
