id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,1.539,1.893,1.379,1.373,1.8595,4.9431,4.6189,-0.2757,-1.6486,6.114,7.5897,13.7037,3.8491,88.61,53.93,88.258,0.423,18.947,0.64,43.5015,4.869,3.9857,-0.3623,-1.5768,6.2654,7.8414,14.3508,3.7104,88.9902,0.2003,60.3909,0.3426,36.0002,-0.1052,-0.6814
2,1.314,1.971,0.972,2.029,1.3565,4.646,4.2933,-0.517,-1.5346,6.2972,6.5423,12.8395,3.2931,10.0,63.76,87.222,0.658,28.062,0.3927,20.0656,4.6659,3.9406,-0.2823,-1.4086,5.6599,6.923,12.5278,3.7664,88.0374,0.7135,79.8418,0.3718,22.6746,0.0331,0.8042
3,3.171,3.768,2.764,1.363,7.8951,4.6433,3.7648,-1.0865,-0.4736,8.3547,7.4478,15.8025,2.5314,24.4,53.74,86.99,0.804,35.616,0.0992,103.2169,4.9681,3.9903,-0.3465,-1.8342,6.826,9.3012,16.9574,4.0397,89.3169,0.1772,75.2286,0.2233,47.9833,0.1677,0.6475
4,3.099,3.708,2.892,1.282,7.5446,5.7951,5.1648,-0.284,-1.3532,7.6351,11.5007,19.1358,4.0706,150.14,52.04,88.233,0.535,0.241,0.2553,162.8435,4.9752,3.9893,-0.2885,-1.3903,7.1261,9.4123,17.6837,4.3371,89.2678,0.1532,56.3661,0.2281,47.9056,-0.392,0.4027
5,0.945,1.319,0.744,1.774,0.7011,5.1045,4.5317,-0.5647,-1.2719,7.3868,8.786,16.1728,3.3988,71.74,60.58,87.838,0.528,142.608,0.2599,11.9832,4.8103,3.9862,-0.4152,-1.2569,6.5223,7.2901,14.3799,3.7467,88.9467,0.2204,72.1433,0.3917,25.5757,-0.1434,-0.4996
6,1.149,1.604,0.948,1.692,1.0364,5.4978,5.3717,-0.0424,-1.8504,5.8348,7.9924,13.8272,4.9767,88.89,59.42,87.665,0.629,6.193,0.2974,17.0395,4.7921,3.9903,-0.3336,-1.6982,6.0293,7.0715,13.255,3.8849,89.2682,0.1333,68.4153,0.3887,19.2352,-0.3059,-0.6539
7,3.177,6.095,2.078,2.934,7.9256,5.71,5.244,-0.2051,-1.4955,7.0446,12.585,19.6296,4.2074,2.46,71.18,87.648,0.615,22.401,0.204,131.7822,4.9635,3.988,-0.4116,-1.7791,7.0296,9.2896,17.1052,3.9413,89.1754,0.2466,88.2565,0.2495,47.8702,0.4201,0.8195
8,1.795,2.474,1.576,1.57,2.5301,5.4652,4.9743,-0.4057,-1.4667,7.2781,9.6355,16.9136,3.8217,97.29,57.5,88.151,0.544,169.926,0.4663,51.8185,4.9469,3.9922,-0.2075,-1.1937,6.7629,9.2242,17.0825,4.4434,89.1198,0.1669,99.3818,0.2886,46.2644,0.2348,-0.7426
9,0.975,1.387,0.823,1.686,0.7468,5.2045,4.9653,0.0345,-1.586,5.6019,11.0648,16.6667,4.4586,5.1,59.33,88.561,0.412,130.215,0.2521,20.9983,4.7853,3.969,-0.1131,-1.7924,5.358,8.0398,13.3484,4.2782,88.6208,0.4252,93.6067,0.3115,30.0175,0.0724,0.8007
10,1.052,1.149,1.021,1.125,0.8688,4.7459,4.2154,-0.6933,-1.2481,7.0858,6.6179,13.7037,3.0487,113.84,48.37,88.056,0.516,25.194,0.2538,16.9091,4.7861,3.9788,-0.1023,-1.706,5.3988,7.6608,13.1219,4.3274,88.9015,0.1868,56.6204,0.3564,22.5861,-0.5791,-0.6021
11,1.454,1.973,1.603,1.231,1.6613,4.194,4.0702,0.4657,-1.6992,3.396,7.9621,11.358,5.0784,75.6,50.92,86.582,0.688,24.584,0.0691,19.4104,4.583,3.9748,-0.1797,-1.2898,5.3447,6.8066,12.0273,3.9294,88.3295,0.4537,92.688,0.3902,22.2589,0.2171,-0.569
12,1.74,2.448,1.333,1.837,2.3777,4.5531,4.3235,-0.3035,-1.7079,5.5681,6.7775,12.3457,3.5336,149.25,61.43,87.376,0.538,61.906,0.3992,35.1909,4.7787,3.9542,-0.1404,-1.4926,5.4593,7.8277,13.3047,4.087,88.239,0.4878,61.7143,0.3136,32.6186,-0.333,0.6282
13,1.23,2.019,0.839,2.406,1.1888,5.3621,5.2474,-0.0665,-1.8769,5.7245,7.4854,13.2099,4.8438,102.04,67.43,88.006,0.54,179.644,0.4572,22.0726,4.7573,3.9872,-0.3632,-1.278,6.2497,6.9739,13.5275,3.8232,88.9506,0.2291,82.8694,0.4089,21.6548,-0.0652,-0.7248
14,1.784,2.303,1.452,1.586,2.4996,5.152,4.8499,-0.2759,-1.628,6.3237,9.8492,16.1728,3.9573,75.05,57.77,87.958,0.689,3.356,0.373,47.8597,4.9506,3.9934,-0.3666,-1.5992,6.8054,9.0388,16.5857,3.8498,89.2327,0.1458,80.6244,0.277,47.5811,0.378,-0.8555
15,3.401,4.208,3.23,1.303,9.084,5.9691,5.6082,0.1513,-1.5092,6.2136,13.1691,19.3827,5.148,80.86,52.49,88.157,0.487,102.355,0.1094,188.6304,4.9644,3.9882,-0.003,-1.6905,5.8841,9.4599,16.4429,4.5644,89.2101,0.1502,71.3712,0.2387,48.6776,-0.0567,-0.6871
16,2.066,2.438,1.867,1.306,3.3531,4.6748,3.4639,-0.8948,-0.1114,8.7854,8.9924,17.7778,2.4408,106.98,52.56,87.883,0.698,16.102,0.2642,61.027,4.9748,3.9958,-0.3445,-2.0957,6.8101,9.2209,16.8124,4.0444,89.6624,0.0535,46.3736,0.2537,47.2028,-0.4567,-0.8146
17,1.322,2.203,0.99,2.224,1.3717,4.2359,4.1245,-0.1415,-1.8396,4.7137,5.9035,10.6173,3.6662,15.7,65.79,87.073,0.587,121.27,0.2442,19.2798,4.5273,3.9488,-0.1476,-1.5774,5.0323,6.8033,11.6161,3.9532,87.9896,0.7506,96.3368,0.3725,20.1871,0.3052,0.6322
18,1.157,2.136,0.705,3.03,1.0517,4.939,4.5851,-0.5205,-1.528,6.6867,6.8936,13.5802,3.4887,97.1,71.73,87.174,0.625,9.836,0.5239,14.8678,4.6602,3.9759,-0.2568,-1.3327,5.7042,6.721,12.5953,3.911,88.4977,0.328,72.5263,0.4288,17.5175,-0.1712,-0.5629
19,1.174,1.759,0.859,2.048,1.0822,4.3991,4.1875,-0.1771,-1.7031,5.1276,7.0947,12.2222,3.5387,98.04,63.98,87.961,0.363,4.794,0.3538,20.4999,4.6498,3.9717,-0.1773,-1.4035,5.3423,6.9183,12.1884,3.9332,88.3739,0.395,74.5968,0.3774,22.2764,-0.0428,-0.4352
20,2.852,3.399,2.671,1.272,6.3862,5.4478,5.2786,-0.1881,-1.8145,6.2181,8.3498,14.5679,4.5857,164.78,51.83,87.353,0.757,25.922,0.1864,95.1624,4.9581,3.9887,-0.266,-1.6689,6.6632,9.1653,16.6343,4.2553,89.323,0.1791,66.5483,0.2448,45.7613,-0.3026,0.7094
21,2.038,3.583,1.315,2.726,3.2617,5.1035,4.9631,0.2801,-1.7456,4.6491,9.6719,14.321,5.3226,152.38,69.85,88.097,0.544,72.575,0.3714,67.8703,4.9275,3.967,0.1859,-1.7897,5.0457,9.2949,15.1946,4.9624,88.7832,0.3288,76.57,0.2394,45.47,-0.377,0.7493
22,4.612,5.947,4.094,1.452,16.7048,5.1264,4.9473,0.1021,-1.7397,5.1975,11.5926,16.7901,4.7323,156.15,55.45,87.553,0.647,106.939,0.0706,264.0104,4.9628,3.9889,-0.3564,-2.3503,6.506,9.244,16.3236,4.0177,89.4636,0.2032,101.25,0.2362,46.6008,0.5181,0.9488
23,1.14,1.495,0.993,1.505,1.0212,4.8715,4.7057,-0.059,-1.7338,5.3272,8.8704,14.1975,4.214,50.09,56.4,88.148,0.573,157.506,0.1877,22.4387,4.6949,3.9755,-0.0659,-1.7622,5.0372,7.8499,12.6698,4.2503,88.5529,0.4215,118.7615,0.3487,28.6744,0.5555,0.0872
24,1.365,1.756,1.331,1.319,1.4632,4.848,4.7566,-0.2171,-1.8774,5.5059,6.4694,11.9753,4.1868,172.61,52.83,86.807,0.747,175.457,0.3292,18.1808,4.6528,3.9617,-0.2282,-1.5502,5.4774,7.0089,12.3551,3.9237,88.4234,0.5806,102.2771,0.3747,20.8804,0.2963,0.7102
25,1.905,2.465,1.613,1.528,2.8502,4.6154,4.2354,-0.4208,-1.5247,6.1248,8.3197,14.4444,3.2801,92.75,56.8,87.857,0.548,136.667,0.2497,51.4044,4.9161,3.9915,-0.029,-1.9717,5.4138,9.0378,14.9245,4.4415,89.2264,0.1468,112.799,0.2848,44.8625,0.5685,-0.8245
26,1.513,1.66,1.445,1.149,1.7985,4.6392,4.0899,-0.573,-1.3096,6.7534,6.7034,13.4568,3.1232,1.33,48.96,88.09,0.349,2.774,0.4247,37.2179,4.8283,3.9468,-0.3399,-1.2907,6.1678,7.757,14.2064,3.7202,87.979,0.6777,65.1129,0.3435,35.0878,-0.0643,0.851
27,1.277,1.445,1.149,1.258,1.2803,4.3848,3.9383,-0.7442,-1.2693,6.5638,5.4115,11.9753,2.8131,78.46,51.51,86.658,0.787,130.584,0.3575,15.6125,4.4842,3.9786,-0.2008,-1.3842,5.3362,6.4363,11.7798,3.9515,88.3754,0.4119,101.7616,0.4443,14.8215,0.3313,-0.6662
28,1.314,2.228,0.8,2.783,1.3565,4.9943,4.8933,0.143,-1.8171,4.8395,9.4815,14.321,4.9483,143.11,70.24,87.694,0.544,53.909,0.1782,22.8323,4.8781,3.9867,-0.0328,-2.1791,5.2639,8.3523,13.7599,4.5894,89.3847,0.1185,58.5955,0.3133,25.4008,-0.6293,0.4894
29,2.393,2.868,2.169,1.322,4.4963,4.4993,4.2027,-0.5444,-1.5501,6.0979,6.865,12.963,3.2163,159.17,52.9,86.515,1.101,4.469,0.1199,51.5742,4.9345,3.9735,-0.2233,-1.6718,6.2064,8.8877,15.6311,4.1032,88.9125,0.2946,53.9732,0.2603,44.832,-0.3593,0.7429
30,2.203,2.758,1.886,1.463,3.8104,6.1391,5.6457,-0.3138,-1.5626,7.8157,9.8387,17.6543,4.4685,29.8,55.64,88.394,0.385,164.947,0.0542,91.4691,4.9896,3.9957,-0.163,-1.8874,7.2551,9.8417,18.7565,4.937,89.5086,0.1292,128.7373,0.171,49.6665,0.6696,0.5968
31,1.277,1.433,1.203,1.191,1.2803,6.8323,5.9138,-0.3673,-1.3292,9.536,11.2047,20.7407,5.0689,40.05,49.98,88.862,0.296,177.323,0.4629,42.8801,4.9863,3.9972,-0.2601,-2.0409,7.244,9.7301,18.3654,4.6869,89.5479,0.1069,132.4214,0.1703,49.2001,0.7424,0.41
32,3.225,4.292,3.327,1.29,8.1695,5.3833,5.2646,0.211,-1.7941,5.0483,10.5073,15.5556,5.5004,71.84,52.22,87.65,0.597,155.248,0.1865,135.4266,4.9566,3.9948,-0.1938,-1.9994,6.2024,9.2752,16.1747,4.2724,89.3672,0.1191,114.8963,0.2253,47.7085,0.6825,-0.7539
33,1.365,1.651,1.159,1.424,1.4632,4.01,3.0512,-1.0699,-0.0058,7.8706,6.6973,14.5679,2.125,8.22,54.93,87.705,0.695,8.47,0.7909,23.7438,4.5842,3.9247,-0.3796,-0.7717,6.1163,6.531,13.0266,3.5193,86.8681,0.9997,73.4882,0.4311,24.8957,0.1123,0.531
34,1.269,1.787,0.955,1.871,1.2651,4.8314,4.599,-0.1735,-1.6996,5.6314,8.4427,14.0741,3.926,29.5,61.87,88.023,0.521,114.916,0.2897,25.6339,4.6643,3.9521,-0.1126,-1.5478,5.1989,7.5765,12.6219,4.1466,88.0204,0.743,110.143,0.3567,27.1172,0.4083,0.6576
35,2.203,3.251,1.783,1.824,3.8104,4.3181,4.224,-0.1289,-1.8568,4.752,6.7295,11.4815,3.8016,81.54,61.27,86.844,0.751,152.911,0.2105,47.7523,4.8078,3.981,-0.1655,-1.3859,5.7414,8.2348,14.1358,4.0967,88.5582,0.3371,105.597,0.3437,38.9364,0.4781,-0.7772
36,2.108,2.737,1.972,1.388,3.4903,4.8533,4.6978,-0.0597,-1.8071,5.2565,8.2003,13.4568,4.2465,102.84,54.23,87.578,0.705,100.097,0.2335,57.1311,4.8997,3.9843,-0.1608,-1.4249,6.0156,8.7107,15.1988,4.1875,88.9116,0.2272,75.3968,0.3159,43.512,-0.0135,-0.6806
37,1.014,1.348,0.852,1.582,0.8078,5.0153,4.8792,-0.2913,-1.8198,5.9342,6.4115,12.3457,4.1427,34.82,57.7,87.044,0.602,126.902,0.2408,10.5197,4.7405,3.988,-0.2345,-2.277,5.311,7.2677,12.378,3.9854,89.1384,0.2069,116.5443,0.3801,16.9985,0.637,0.0809
38,1.149,1.976,0.704,2.806,1.0364,4.5412,4.3677,-0.339,-1.7324,5.5589,7.651,13.2099,3.5969,90.9,70.38,87.156,0.708,171.706,0.33,14.7564,4.6727,3.9896,-0.2546,-1.8129,5.4926,6.7615,12.1637,3.9173,89.0937,0.1835,92.2846,0.403,16.6839,0.2114,-0.7585
39,1.795,2.424,1.545,1.569,2.5301,5.1914,4.9872,0.0157,-1.7648,5.491,9.3238,14.8148,4.5943,30.54,57.5,88.34,0.365,153.009,0.3451,56.9975,4.9337,3.984,0.0943,-1.8126,5.5446,9.4263,16.1818,4.9946,88.8807,0.3165,130.7854,0.2471,46.1933,0.5446,0.572
40,1.042,1.437,0.833,1.725,0.8535,4.5624,4.4653,-0.1914,-1.874,5.1403,5.477,10.6173,3.947,119.31,59.9,86.954,0.581,166.033,0.3638,11.3926,4.5928,3.9806,-0.3406,-1.5968,5.7946,5.9863,11.9509,3.8369,88.7946,0.2102,71.1046,0.4352,8.81,-0.3147,-0.5747
41,1.427,1.751,1.221,1.435,1.6004,4.3674,4.0525,-0.3408,-1.6179,5.5518,6.7939,12.3457,3.2778,9.86,55.12,87.611,0.749,96.15,0.6944,26.2887,4.6906,3.9613,-0.175,-1.6862,5.2462,7.2188,12.3303,4.0001,88.3899,0.5775,106.0955,0.3744,22.2279,0.4221,0.6362
42,0.824,1.141,0.615,1.854,0.5335,4.1895,3.9609,-0.5568,-1.6012,5.6287,4.7417,10.3704,3.0556,104.94,61.66,86.664,0.941,36.34,0.4204,6.2465,4.6375,3.9894,-0.1774,-2.0361,5.1931,6.4773,11.6055,4.1716,89.1347,0.1357,68.6056,0.425,7.8916,-0.3759,-0.6265
43,4.451,5.146,4.347,1.184,15.5617,6.1955,5.8929,0.1722,-1.6285,6.2216,14.6426,20.8642,5.6591,98.89,49.81,88.388,0.437,153.653,0.0596,374.5782,4.9909,3.9962,-0.0956,-1.2907,7.3674,9.8003,18.753,5.0698,89.5246,0.0719,85.3946,0.1834,49.4925,-0.2558,-0.6875
44,1.95,2.356,1.752,1.345,2.9873,5.3361,4.9196,-0.3289,-1.5589,6.8216,9.9685,16.7901,3.9,144.04,53.36,88.275,0.461,111.084,0.0658,65.7323,4.9683,3.9845,-0.2482,-1.6064,6.7364,9.3967,17.0955,4.2081,89.3221,0.1986,53.897,0.2343,48.4737,-0.3926,0.6592
45,1.74,2.095,1.575,1.331,2.3777,5.2888,4.8098,-0.3041,-1.5062,6.8184,8.9841,15.8025,3.7972,32.02,53.08,88.441,0.408,48.675,0.1692,57.0589,4.9513,3.9823,-0.2675,-1.7815,6.4716,9.2493,16.4015,4.1258,89.085,0.3052,95.828,0.2445,47.6839,0.4019,0.7801
46,1.19,1.474,1.019,1.447,1.1126,4.4744,4.0688,-0.5144,-1.4662,6.1946,6.0277,12.2222,3.1388,171.95,55.36,87.731,0.471,89.862,0.5393,18.6222,4.6928,3.9615,-0.2521,-1.7592,5.514,6.7377,12.133,3.9248,88.6422,0.3488,66.7536,0.3694,13.8927,-0.3414,0.6891
47,0.847,0.987,0.741,1.332,0.5639,3.88,3.6878,-0.1496,-1.7201,4.468,6.2728,10.7407,3.1396,22.79,53.1,87.22,0.856,135.688,0.3001,8.3291,4.4059,3.9542,-0.1355,-1.4863,5.0551,6.5092,11.4231,4.049,87.9297,0.7031,108.7107,0.4123,14.1412,0.34,0.3009
48,1.672,2.138,1.389,1.54,2.1948,4.8753,4.461,-0.3909,-1.5325,6.4019,8.0426,14.4444,3.4232,28.21,57.0,87.494,0.599,90.055,0.3158,34.0347,4.7644,3.9335,-0.1189,-1.2265,5.4679,8.0942,13.4571,4.0952,87.341,0.9932,97.6418,0.3124,38.7379,0.3329,0.6744
49,2.676,2.991,2.664,1.123,5.6241,4.7714,4.5004,-0.1396,-1.653,5.5442,9.0237,14.5679,3.8075,61.04,48.31,87.688,0.569,65.364,0.0701,95.2436,4.9171,3.9841,-0.1277,-1.4191,5.9834,9.0589,15.485,4.218,88.8264,0.3004,102.0997,0.25,47.5216,0.4591,-0.5702
50,2.103,2.548,1.809,1.409,3.4751,4.931,4.5053,-0.5004,-1.4715,6.7425,7.702,14.4444,3.4088,27.32,54.63,87.578,0.624,107.86,0.2095,57.2192,4.9143,3.9774,-0.2255,-1.9359,5.948,8.8988,15.171,4.099,88.9738,0.4013,107.2812,0.2652,44.4341,0.5467,0.8602
51,1.277,1.836,0.937,1.96,1.2803,4.6302,4.4597,-0.1945,-1.7672,5.3489,7.614,12.963,3.8687,19.54,62.97,87.825,0.575,119.424,0.0919,21.8168,4.7701,3.9695,-0.0692,-1.9909,5.0315,7.9752,12.8408,4.2889,88.736,0.4083,101.9185,0.3127,28.3551,0.2618,0.7708
52,0.788,0.934,0.723,1.291,0.4877,4.6228,4.5968,0.0336,-1.9542,4.5968,5.897,10.4938,4.5968,39.96,52.23,86.0,0.81,160.27,0.2556,4.9519,4.542,3.9634,-0.2183,-1.5106,5.4009,6.5731,11.8582,3.9547,88.2903,0.5497,107.2543,0.4235,14.3386,0.3299,0.2973
53,1.843,2.863,1.352,2.118,2.6673,6.1027,5.4546,-0.1504,-1.4551,7.5616,11.6976,19.2593,4.4057,173.83,64.72,88.608,0.39,75.221,0.5393,74.2059,4.9557,3.9851,-0.3704,-1.7258,6.9351,9.1242,16.8884,4.094,89.2308,0.2399,75.3667,0.2589,45.2421,-0.0281,0.892
54,1.214,1.359,1.127,1.206,1.1584,4.4674,3.9544,-0.5853,-1.2851,6.5352,6.7981,13.3333,2.9658,73.61,50.33,87.929,0.51,103.042,0.777,20.8134,4.5793,3.983,-0.2741,-1.4034,5.5614,6.3964,11.9352,3.7683,88.6355,0.3403,92.6193,0.4389,16.8624,0.304,-0.694
55,3.95,4.639,3.472,1.336,12.2542,5.4149,4.8695,-0.5002,-1.3963,7.5227,9.2675,16.7901,3.6292,55.05,53.18,87.245,0.719,144.16,0.1082,174.1185,4.9805,3.9974,-0.2233,-2.0199,6.82,9.5879,17.6619,4.5591,89.5459,0.0895,127.5028,0.1844,48.7322,0.7402,-0.371
56,1.314,1.658,1.124,1.475,1.3565,4.5471,4.2225,-0.2354,-1.5538,5.591,9.3473,14.9383,3.3923,159.52,55.87,87.956,0.563,141.003,0.4242,25.9862,4.7278,3.9626,-0.046,-1.7397,5.1438,7.7585,12.6852,4.4028,88.5125,0.4313,86.7219,0.3306,23.5836,-0.2407,0.7282
57,1.149,1.279,1.054,1.213,1.0364,4.5741,3.6634,-0.5122,-0.6936,7.4621,8.9576,16.4198,2.9307,90.27,50.5,88.513,0.489,102.625,0.9052,25.6037,4.8136,3.9927,-0.3667,-1.7921,6.0282,7.3112,13.3975,3.6745,89.333,0.1536,85.1861,0.382,28.3854,0.2565,-0.8341
58,2.099,2.606,1.792,1.454,3.4598,5.4632,4.8924,-0.5761,-1.3719,7.7987,8.8679,16.6667,3.6693,73.74,55.48,87.945,0.424,162.228,0.0974,66.6641,4.9798,3.9969,-0.2739,-1.7965,6.9959,9.5614,17.7389,4.3518,89.5004,0.0916,110.3024,0.1952,49.0915,0.6389,-0.7007
59,7.807,9.968,7.38,1.351,47.8738,6.464,6.1587,-0.0205,-1.7041,7.0508,14.0603,21.1111,5.4805,145.89,53.49,87.737,0.652,39.655,0.1569,814.6571,4.9924,3.9977,-0.2327,-1.5894,7.7162,9.7584,18.8179,5.0037,89.7086,0.0471,75.5564,0.1459,48.9635,-0.5363,0.2105
60,2.838,3.229,2.807,1.15,6.3253,6.269,5.6528,0.0045,-1.4817,7.2636,11.6252,18.8889,4.7936,103.57,49.0,88.2,0.614,156.445,0.3025,132.2275,4.9746,3.9934,-0.1961,-1.2892,7.0308,9.4614,17.7233,4.5706,89.354,0.1051,69.8106,0.2523,48.0605,-0.3299,-0.7913
61,2.672,3.907,2.22,1.76,5.6089,4.887,4.7447,-0.027,-1.781,5.2161,10.4629,15.679,4.3515,40.17,60.4,87.578,0.728,109.824,0.2516,90.7514,4.8718,3.9672,-0.1611,-1.2345,5.9761,8.8391,15.2109,4.1571,88.1993,0.603,103.3432,0.2782,46.1958,0.4755,0.2511
62,0.87,0.961,0.828,1.16,0.5944,5.4581,5.2954,-0.0155,-1.8184,5.7767,8.1739,13.9506,4.888,123.78,49.23,88.51,0.217,73.964,0.0338,16.541,4.782,3.976,-0.201,-1.4467,5.8532,7.439,13.4819,4.2186,88.8705,0.2092,58.4558,0.3698,19.8981,-0.6272,-0.3922
63,0.763,1.383,0.599,2.309,0.4572,4.4697,4.4074,0.0862,-1.8723,4.4074,6.8272,11.2346,4.4074,178.38,66.58,87.404,0.49,74.801,0.2198,7.4439,4.6068,3.9669,-0.1393,-2.0699,4.9834,6.7402,11.4115,4.1218,88.8107,0.2936,72.6247,0.3713,11.2688,-0.3261,0.6957
64,1.414,2.388,0.947,2.522,1.5699,4.8929,4.694,0.4201,-1.4878,4.2809,12.1388,16.4198,5.1953,115.55,68.37,88.313,0.469,30.052,0.1832,35.4408,4.8723,3.975,0.055,-1.513,5.3711,8.6269,14.3697,4.72,88.9153,0.2207,56.7648,0.3123,35.7272,-0.7021,-0.3225
65,4.246,5.013,3.872,1.295,14.1594,6.3578,5.9543,-0.1579,-1.6732,7.4752,11.9075,19.3827,5.0272,96.99,52.32,88.178,0.488,135.787,0.2789,300.9623,4.9634,3.9927,-0.2593,-0.7571,7.2841,9.3462,17.8239,4.4979,89.0907,0.18,98.3831,0.2755,47.2166,0.1023,-0.7182
66,3.409,4.833,2.828,1.709,9.1297,5.0254,4.8945,0.1119,-1.8065,4.9866,9.211,14.1975,4.8207,66.51,59.66,87.825,0.622,171.41,0.1013,161.2628,4.9253,3.9862,0.0588,-1.7555,5.3617,9.2864,15.3943,4.6391,88.8955,0.2579,117.7752,0.248,47.387,0.5916,-0.4969
67,1.23,2.552,0.837,3.048,1.1888,4.0702,3.7604,0.8307,-1.1993,2.7855,8.9429,11.7284,5.7853,144.17,71.84,87.769,0.54,24.525,0.5382,19.2889,4.7058,3.9598,0.0038,-1.667,4.9338,7.4684,12.2651,4.4653,88.4873,0.323,60.5489,0.3645,18.4312,-0.5794,0.1335
68,2.595,3.544,2.093,1.693,5.2888,5.2028,4.8278,-0.2183,-1.6232,6.3291,9.103,15.4321,3.9759,169.44,59.43,88.024,0.524,82.429,0.2116,105.3079,4.9296,3.9619,-0.0614,-1.4981,5.9453,9.193,15.784,4.4896,88.6087,0.4171,71.885,0.2317,46.7286,-0.279,0.7097
69,1.594,2.106,1.331,1.582,1.9966,4.5959,4.3822,-0.4134,-1.7084,5.8195,6.0323,11.8519,3.5395,43.56,57.7,86.589,0.816,114.442,0.333,23.3152,4.503,3.9557,-0.2744,-1.0302,5.607,6.3102,11.8678,3.6839,87.7726,0.747,87.7763,0.4161,20.9627,0.2361,-0.1972
70,0.859,1.255,0.69,1.819,0.5792,5.1661,5.0907,-0.1095,-1.9136,5.5679,6.4074,11.9753,4.6888,15.78,61.21,87.374,0.482,120.404,0.6323,8.9995,4.6174,3.9763,-0.2203,-1.6844,5.4995,6.7628,12.1626,4.0819,88.8896,0.3584,103.6971,0.3941,12.8604,0.0743,0.5343
71,2.251,3.157,1.791,1.762,3.9781,4.6386,4.2217,-0.5837,-1.4084,6.5545,7.3962,13.9506,3.1539,0.87,60.43,87.241,0.827,95.216,0.3511,54.4348,4.9097,3.9745,-0.395,-1.4102,6.7394,8.6484,16.0285,3.8405,88.6077,0.5119,87.3734,0.3037,43.4768,0.3282,0.8525
72,1.975,2.508,1.663,1.508,3.0636,4.5072,4.2621,-0.1453,-1.6958,5.2124,8.4913,13.7037,3.6228,126.6,56.45,87.767,0.454,85.149,0.3066,55.0495,4.8909,3.9789,-0.0867,-1.2707,5.8862,8.7484,14.9878,4.3583,88.801,0.2776,70.8777,0.2857,43.8918,-0.2918,-0.5925
73,2.028,2.647,1.695,1.562,3.2312,4.7618,4.6213,-0.0673,-1.8278,5.1521,8.0578,13.2099,4.2454,18.79,57.37,87.616,0.659,9.738,0.1488,50.1654,4.8642,3.9629,-0.1319,-1.5849,5.7454,8.7946,14.8591,4.2684,88.3451,0.6384,114.2752,0.2811,43.1257,0.522,0.7992
74,2.413,3.507,1.884,1.862,4.5725,5.8168,5.6643,0.2155,-1.7718,5.479,10.5704,16.0494,5.8625,152.39,61.76,88.046,0.597,95.838,0.1984,91.1329,4.9487,3.98,-0.1726,-1.5798,6.3546,9.2538,16.4083,4.3703,89.0704,0.2909,74.9844,0.2497,47.1098,-0.1502,0.8161
75,3.087,3.918,3.346,1.171,7.4836,5.6622,5.3754,0.5824,-1.4258,4.5079,12.4057,16.9136,6.6563,62.84,49.5,88.301,0.484,0.945,0.0941,164.0905,4.9792,3.9924,-0.0279,-1.5003,6.6167,9.6927,17.9027,4.8943,89.2669,0.1435,102.0823,0.2129,49.2078,0.2095,-0.4983
