id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,9.282,15.138,6.486,2.334,67.6726,8.1229,7.7442,0.4209,-1.5631,7.0912,18.8347,25.9259,8.5436,148.82,66.81,87.696,0.684,51.937,0.1924,1140.8474,4.9918,3.9867,-0.469,-2.1648,9.209,9.7992,19.5448,5.2797,89.5592,0.0513,25.3208,0.1302,49.2792,-0.3966,0.7607
2,3.513,6.062,2.438,2.486,9.6936,4.9635,4.8719,-0.1496,-1.8716,5.4857,8.8353,14.321,4.3817,177.27,68.09,85.822,1.092,170.679,0.0713,92.3159,4.8875,3.9658,-0.4533,-1.8293,6.616,8.0415,14.7665,3.7708,89.0013,0.1606,109.5566,0.274,43.2519,0.0519,0.5763
3,0.812,1.018,0.673,1.512,0.5182,4.2306,3.7869,-0.8138,-1.1843,6.4918,4.9897,11.4815,2.6731,72.3,56.51,86.605,0.83,52.952,0.1533,5.9718,4.3656,3.9177,-0.3186,-1.6266,5.4675,5.8952,11.0951,3.9096,87.8476,0.5334,84.9264,0.3281,10.3774,0.0578,-0.5045
4,1.052,1.809,0.676,2.674,0.8688,4.7084,4.567,0.3892,-1.6462,4.0665,9.1434,13.2099,5.2079,141.3,69.5,87.616,0.357,45.374,0.5575,14.9288,4.3284,3.8606,-0.2852,-0.8587,5.4643,6.1451,11.3294,3.9235,86.138,0.9141,93.3496,0.3568,16.7808,0.0457,-0.0951
5,1.935,2.949,1.344,2.195,2.9416,4.746,4.2846,-0.7691,-1.271,7.1238,5.9626,13.0864,3.0636,16.84,65.51,86.459,1.03,146.241,0.28,33.053,4.7921,3.9357,-0.3495,-1.2934,6.308,7.488,13.8807,4.0738,87.9022,0.297,114.8255,0.3708,33.6535,0.2647,0.6457
6,1.299,1.72,1.08,1.592,1.326,5.3431,5.2011,-0.2384,-1.8242,6.1918,8.0058,14.1975,4.4837,22.55,57.86,87.064,0.739,161.651,0.3309,16.8308,4.7398,3.9425,-0.2918,-1.4048,6.2465,7.5159,13.8569,4.1738,87.6292,0.3289,116.4562,0.3524,25.3697,0.1727,0.4215
7,6.788,10.117,5.681,1.781,36.1835,8.6646,8.1552,-0.0479,-1.6281,9.7455,21.7359,31.4815,7.1306,15.46,60.68,88.23,0.603,143.355,0.1933,791.3011,4.9981,3.9974,-0.2861,-2.3837,9.0098,9.9101,19.6562,5.5338,89.8466,0.0207,143.1072,0.2074,49.8865,0.299,0.4295
8,1.365,2.143,0.99,2.165,1.4632,5.196,5.0967,-0.2152,-1.875,5.8996,6.693,12.5926,4.4862,44.45,65.21,86.038,1.036,149.151,0.1257,14.5964,4.7907,3.9749,-0.248,-2.2211,5.549,7.1528,12.5413,4.1367,88.9771,0.1643,128.6553,0.3671,19.9449,0.3728,-0.1693
9,2.376,2.909,2.291,1.27,4.4353,4.8175,4.5797,-0.4629,-1.6665,6.2327,6.4834,12.716,3.6197,17.56,51.78,85.921,0.961,174.302,0.0988,43.2448,4.9275,3.9672,-0.339,-1.7239,6.675,8.849,16.2184,3.9609,88.8539,0.1698,105.9168,0.2426,48.194,-0.0223,0.8277
10,1.843,2.013,1.777,1.133,2.6673,5.4598,5.2786,-0.3804,-1.7754,6.7267,6.977,13.7037,4.3435,54.43,48.56,86.558,0.804,129.275,0.1297,30.347,4.9067,3.9814,-0.171,-2.0543,5.9388,8.076,14.3186,4.7245,89.1562,0.1692,133.5409,0.4165,30.6775,0.6943,-0.2693
